cagl_id,gwk60_id_clean,qng_id,cgla_gene_name_from_deseq,cgla_common_name,cg_to_sc_relationship,pre_WGD_Ancestor,scer_gene_id,scer_gene_name,SGD_essentiality,SGD_description
CAGL0A00341g,GWK60_A00231,QNG12117.1,GWK60_A00231,,1-to-1,Anc_4.109,YGL010W,,,Putative protein of unknown function; YGL010W is not an essential gene
CAGL0A00363g,GWK60_A00253,QNG12118.1,GWK60_A00253,,1-to-1,Anc_4.107,YGL009C,LEU1,,Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway
CAGL0A00385g,GWK60_A00275,QNG12119.1,GWK60_A00275,,1-to-1,Anc_4.105,YGL016W,KAP122,,Karyopherin beta; responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance
CAGL0A00407g,GWK60_A00297,QNG12120.1,SCL1,SCL1,1-to-1,Anc_4.110,YGL011C,SCL1,inviable,Alpha 1 subunit of the 20S proteasome; involved in the degradation of ubiquitinated substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria
CAGL0A00429g,GWK60_A00319,QNG12121.1,ERG4,ERG4,1-to-1,Anc_4.112,YGL012W,ERG4,,"C-24(28) sterol reductase; catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol"
CAGL0A00451g,GWK60_A00341,QNG12122.1,PDR1,PDR1,1-to-2,Anc_4.113,YGL013C,PDR1,,"Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog, PDR3, that arose from the whole genome duplication"
CAGL0A00473g,GWK60_A00363,QNG12123.1,GWK60_A00363,,1-to-1,Anc_4.114,YGL014W,PUF4,,Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors
CAGL0A00495g,GWK60_A00385,QNG12124.1,PMA1,PMA1,1-to-1,Anc_4.115,YGL008C,PMA1,inviable,Plasma membrane H+-ATPase; pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; P2-type ATPase; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]
CAGL0A00517g,GWK60_A00407,QNG12125.1,GWK60_A00407,,1-to-1,Anc_4.117,YGL006W,PMC1,,Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a
CAGL0A00539g,GWK60_A00429,QNG12126.1,GWK60_A00429,,1-to-1,Anc_4.118,YGL005C,COG7,,Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments
CAGL0A00561g,GWK60_A00451,QNG12127.1,GWK60_A00451,,1-to-1,Anc_4.119,YGL004C,RPN14,,Assembly chaperone for the 19S proteasome regulatory particle base; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p
CAGL0A00583g,GWK60_A00473,QNG12128.1,GWK60_A00473,ZCF2,1-to-0,Anc_4.121,,,,
CAGL0A00605g,GWK60_A00495,QNG12129.1,GWK60_A00495,,1-to-1,Anc_4.122,YGL003C,CDH1,,"Activator of anaphase-promoting complex/cyclosome (APC/C); cell-cycle regulated; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p"
CAGL0A00627g,GWK60_A00517,QNG12130.1,GWK60_A00517,,2-to-2,Anc_4.124,YGL002W,ERP6,,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog, ERP1, that arose from the whole genome duplication"
CAGL0A00649g,GWK60_A00539,QNG12131.1,GWK60_A00539,,1-to-0,,,,,
CAGL0A00715g,GWK60_A00627,QNG12134.1,GWK60_A00627,,1-to-0,,,,,
CAGL0A00737g,GWK60_A00649,QNG12135.1,GWK60_A00649,,1-to-0,,,,,
CAGL0A00781g,GWK60_A00671,QNG12136.1,GWK60_A00671,,1-to-1,Anc_4.129,YAL002W,VPS8,,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
CAGL0A00803g,GWK60_A00693,QNG12137.1,GWK60_A00693,,1-to-1,Anc_4.128,YAL001C,TFC3,inviable,Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
CAGL0A00825g,GWK60_A00715,QNG12138.1,GWK60_A00715,,2-to-1,Anc_4.131,,,,
CAGL0A00847g,GWK60_A00737,QNG12139.1,GWK60_A00737,,1-to-1,Anc_4.133,YLR316C,TAD3,inviable,Subunit of tRNA-specific adenosine-34 deaminase; forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRNAs
CAGL0A00869g,GWK60_A00759,QNG12140.1,EST2,EST2,1-to-1,Anc_4.134,YLR318W,EST2,,"Reverse transcriptase subunit of the telomerase holoenzyme; essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia"
CAGL0A00891g,GWK60_A00781,QNG12141.1,GWK60_A00781,,1-to-1,Anc_4.135,YLR319C,BUD6,,Actin- and formin-interacting protein; participates in actin cable assembly and organization as a nucleation-promoting factor (NPF) for formins Bni1p and Bnr1p; a triple helical coiled-coil domain in the C-terminal region interacts with Bni1p; involved in polarized cell growth; isolated as bipolar budding mutant; potential Cdc28p substrate
CAGL0A00913g,GWK60_A00803,QNG12142.1,GWK60_A00803,,1-to-1,Anc_4.136,YLR320W,MMS22,,"Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork, such as the fork-pausing complex and leading strand polymerase, preventing fork collapse and promoting efficient recovery during replication stress; required for accurate meiotic chromosome segregation"
CAGL0A00935g,GWK60_A00825,QNG12143.1,GWK60_A00825,,1-to-1,Anc_4.139,YLR323C,CWC24,inviable,General splicing factor; required for stable U2 snRNP binding to primary transcripts; essential for the first step of splicing; component of the pre-catalytic spliceosome complex containing Cef1p; similar to S. pombe Cwf24p
CAGL0A00957g,GWK60_A00847,QNG12144.1,PEX23B,PEX23B,2-to-2,Anc_4.140,YLR324W,PEX30,,"Peroxisomal integral membrane protein; involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p; PEX30 has a paralog, PEX31, that arose from the whole genome duplication"
CAGL0A00979g,GWK60_A00869,QNG12145.1,GWK60_A00869,,1-to-1,Anc_4.141,YLR325C,RPL38,,"Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog"
CAGL0A01001g,GWK60_A00891,QNG12146.1,GWK60_A00891,,1-to-1,Anc_4.144,YLR326W,,,Putative protein of unknown function; predicted to be palmitoylated
CAGL0A01023g,GWK60_A00913,QNG12147.1,GWK60_A00913,,1-to-2,Anc_4.147,YLR328W,NMA1,,"Nicotinic acid mononucleotide adenylyltransferase; catalyzes the transfer of the adenylyl moiety of ATP to nicotinamide mononucleotide to form NAD; involved in pathways of NAD biosynthesis, including the de novo, NAD(+) salvage, and nicotinamide riboside salvage pathways; homolog of human NMNAT; NMA1 has a paralog, NMA2, that arose from the whole genome duplication"
CAGL0A01045g,GWK60_A00935,QNG12148.1,GWK60_A00935,,1-to-1,Anc_6.013,YPL262W,FUM1,,"Fumarase; converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria"
CAGL0A01067g,GWK60_A00957,QNG12149.1,GWK60_A00957,,1-to-1,Anc_6.010,YPL263C,KEL3,,Cytoplasmic protein of unknown function
CAGL0A01089g,GWK60_A00979,QNG12150.1,GWK60_A00979,,1-to-1,Anc_6.008,YPL272C,PBI1,,Putative protein of unknown function; gene expression induced in response to ketoconazole; YPL272C is not an essential gene
CAGL0A01111g,GWK60_A01001,QNG12151.1,GWK60_A01001,,1-to-1,Anc_6.006,YPL271W,ATP15,,"Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated"
CAGL0A01133g,GWK60_A01023,QNG12152.1,GWK60_A01023,,1-to-1,Anc_6.005,YPL270W,MDL2,,Mitochondrial inner membrane half-type ABC transporter; equired for respiratory growth at high temperature; similar to human TAP1 and TAP2 implicated in bare lymphocyte syndrome and Wegener-like granulomatosis
CAGL0A01155g,GWK60_A01045,QNG12153.1,GWK60_A01045,,1-to-1,Anc_6.004,YPL269W,KAR9,,Karyogamy protein; required for correct positioning of the mitotic spindle and for orienting cytoplasmic microtubules; localizes at the shmoo tip in mating cells and at the tip of the growing bud in small-budded cells through anaphase
CAGL0A01177g,GWK60_A01067,QNG12154.1,GWK60_A01067,,1-to-1,Anc_6.003,YPL268W,PLC1,inviable,"Phospholipase C; hydrolyzes phosphatidylinositol 4,5-biphosphate (PIP2) to generate the signaling molecules inositol 1,4,5-triphosphate (IP3) and 1,2-diacylglycerol (DAG); involved in regulating many cellular processes"
CAGL0A01193g,GWK60_A01089,QNG12155.1,GWK60_A01089,,1-to-1,Anc_6.002,YPL267W,ACM1,,"Pseudosubstrate inhibitor of the APC/C; suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein; the anaphase-promoting complex/cyclosome is also known as APC/C"
CAGL0A01199g,GWK60_A01111,QNG12156.1,DIP5,DIP5,1-to-1,,YPL265W,DIP5,,"Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress"
CAGL0A01221g,GWK60_A01133,QNG12157.1,GWK60_A01133,,1-to-0,,,,,
CAGL0A01243g,GWK60_A01155,QNG12158.1,GIT1,GIT1,1-to-0,Anc_5.530,,,,
CAGL0A01284g,GWK60_A01177,QNG12159.1,EPA10,EPA10,1-to-0,,,,,
CAGL0A01325g,GWK60_A01199,QNG12160.1,PGD1,PGD1,1-to-0,,,,,
CAGL0A01366g,GWK60_A01221,QNG12161.1,EPA9,EPA9,1-to-0,,,,,
CAGL0A01408g,GWK60_A01243,QNG12162.1,GWK60_A01243,,1-to-1,Anc_4.093,YGL025C,PGD1,,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor
CAGL0A01430g,GWK60_A01265,QNG12163.1,TRP5,TRP5,1-to-1,Anc_4.092,YGL026C,TRP5,,Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis
CAGL0A01452g,GWK60_A01287,QNG12164.1,CWH41,CWH41,1-to-1,Anc_4.090,YGL027C,CWH41,,"Processing alpha glucosidase I; ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress"
CAGL0A01474g,GWK60_A01309,QNG12165.1,GWK60_A01309,,2-to-1,Anc_4.089,YGL028C,SCW11,,Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p
CAGL0A01540g,GWK60_A01353,QNG12166.1,GWK60_A01353,,1-to-1,Anc_4.085,YGL030W,RPL30,inviable,"Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog"
CAGL0A01562g,GWK60_A01375,QNG12167.1,GWK60_A01375,,1-to-2,Anc_4.084,YGL031C,RPL24A,,"Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication"
CAGL0A01584g,GWK60_A01397,QNG12168.1,GWK60_A01397,,1-to-1,Anc_4.083,YGL032C,AGA2,,"Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds"
CAGL0A01606g,GWK60_A01419,QNG12169.1,GWK60_A01419,,1-to-1,Anc_4.081,YGL033W,HOP2,,Meiosis-specific protein that localizes to chromosomes; preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair
CAGL0A01628g,GWK60_A01441,QNG12170.1,MIG1,MIG1,1-to-1,Anc_4.080,YGL035C,MIG1,,Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion
CAGL0A01650g,GWK60_A01463,QNG12171.1,GWK60_A01463,,2-to-1,Anc_4.079,,,,
CAGL0A01672g,GWK60_A01485,QNG12172.1,GWK60_A01485,,1-to-1,Anc_4.078,YGR009C,SEC9,inviable,t-SNARE protein required for secretory vesicle-plasma membrane fusion; similar to but not functionally redundant with Spo20p; interacts non-exocyst bound Sec6p; SNAP-25 homolog
CAGL0A01694g,GWK60_A01507,QNG12173.1,GWK60_A01507,,1-to-1,Anc_4.076,YGL036W,,,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene
CAGL0A01716g,GWK60_A01529,QNG12174.1,GWK60_A01529,,1-to-1,Anc_4.075,YGL037C,PNC1,,Nicotinamidase that converts nicotinamide to nicotinic acid; part of the NAD(+) salvage pathway; required for life span extension by calorie restriction; PNC1 expression responds to all known stimuli that extend replicative life span; protein increases in abundance and relative distribution to cytoplasmic foci decreases upon DNA replication stress
CAGL0A01738g,GWK60_A01551,QNG12175.1,GWK60_A01551,,1-to-1,Anc_4.074,YGL038C,OCH1,,Mannosyltransferase of the cis-Golgi apparatus; initiates the polymannose outer chain elongation of N-linked oligosaccharides of glycoproteins
CAGL0A01760g,GWK60_A01573,QNG12176.1,GWK60_A01573,,2-to-2,Anc_5.393,YHR091C,MSR1,,"Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication"
CAGL0A01782g,GWK60_A01595,QNG12177.1,HXT4,HXT4,2-to-2,Anc_5.394,YHR092C,HXT4,,"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"
CAGL0A01804g,GWK60_A01617,QNG12178.1,HXT1,HXT1,2-to-2,Anc_5.395,YHR094C,HXT1,,"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"
CAGL0A01826g,GWK60_A01639,QNG12179.1,HXT5,HXT5,2-to-2,Anc_5.396,YHR096C,HXT5,,"Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog, HXT3, that arose from the whole genome duplication"
CAGL0A01848g,GWK60_A01661,QNG12180.1,GWK60_A01661,,1-to-1,Anc_5.400,YHR098C,SFB3,,Component of the Sec23p-Sfb3p heterodimer of the COPII vesicle coat; COPII coat is required for cargo selection during vesicle formation in ER to Golgi transport; homologous to Sec24p and Sfb2p
CAGL0A01870g,GWK60_A01683,QNG12181.1,GWK60_A01683,,1-to-0,,,,,
CAGL0A01914g,GWK60_A01727,QNG12183.1,GWK60_A01727,,1-to-1,Anc_5.402,YHR099W,TRA1,inviable,"Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e.g., Gal4p) which leads to transcription activation; similar to human TRRAP, which is a cofactor for c-Myc mediated oncogenic transformation"
CAGL0A01958g,GWK60_A01771,QNG12184.1,GWK60_A01771,,1-to-1,Anc_1.365,YOL022C,TSR4,inviable,Cytoplasmic protein required for correct processing of 20S pre-rRNA; protein required for processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; essential gene in S288C background but not in CEN.PK2
CAGL0A01980g,GWK60_A01793,QNG12185.1,GWK60_A01793,,1-to-1,Anc_1.364,YOL023W,IFM1,,Mitochondrial translation initiation factor 2
CAGL0A02002g,GWK60_A01815,QNG12186.1,GWK60_A01815,,2-to-2,Anc_1.363,YOL024W,,,"Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site; YOL024W has a paralog, IGD1, that arose from the whole genome duplication"
CAGL0A02024g,GWK60_A01837,QNG12187.1,GWK60_A01837,,1-to-1,Anc_1.362,YOL025W,LAG2,,"Protein that negatively regulates the SCF E3-ubiquitin ligase; regulates by interacting with and preventing neddyation of the cullin subunit, Cdc53p; longevity determinant that is preferentially expressed in young cells; similar to mammalian Cand1"
CAGL0A02046g,GWK60_A01859,QNG12188.1,GWK60_A01859,,2-to-2,Anc_1.358,YOR018W,ROD1,,"Membrane protein, binds the ubiquitin ligase Rsp5p via its 2 PY motifs; overexpression confers resistance to the GST substrate o-dinitrobenzene, zinc, and calcium; proposed to regulate the endocytosis of plasma membrane proteins; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication"
CAGL0A02090g,GWK60_A01903,QNG12189.1,GWK60_A01903,,1-to-1,Anc_1.352,YHR020W,,inviable,"Prolyl-tRNA synthetase; N-terminal domain shows weak homology to prokaryotic posttransfer editing domain, but does not possess posttransfer editing activity; may interact with ribosomes, based on co-purification experiments"
CAGL0A02112g,GWK60_A01925,QNG12190.1,GWK60_A01925,,1-to-1,Anc_1.353,YHR019C,DED81,inviable,"Cytosolic asparaginyl-tRNA synthetase; required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA"
CAGL0A02134g,GWK60_A01947,QNG12191.1,GWK60_A01947,,1-to-1,Anc_1.355,YHR017W,YSC83,,"Non-essential mitochondrial protein of unknown function; mRNA induced during meiosis, peaking between mid to late prophase of meiosis I; similar to S. douglasii YSD83"
CAGL0A02145g,GWK60_A01969,QNG12192.1,GWK60_A01969,,2-to-2,Anc_1.356,YHR016C,YSC84,,"Actin-binding protein; involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p; YSC84 has a paralog, LSB3, that arose from the whole genome duplication"
CAGL0A02189g,GWK60_A02013,QNG12193.1,GWK60_A02013,,2-to-2,Anc_5.393,YDR341C,RRS1,inviable,"Arginyl-tRNA synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDR341C has a paralog, MSR1, that arose from the whole genome duplication"
CAGL0A02211g,GWK60_A02035,QNG12194.1,HXT6/7,HXT6/7,2-to-2,Anc_5.394,YDR342C,HXT7,,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"
CAGL0A02233g,GWK60_A02057,QNG12195.1,HXT4/6/7,HXT4/6/7,2-to-2,Anc_5.395,YDR343C,HXT6,,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication"
CAGL0A02255g,GWK60_A02079,QNG12196.1,GWK60_A02079,,1-to-0,,,,,
CAGL0A02299g,GWK60_A02101,QNG12197.1,GWK60_A02101,,1-to-0,,,,,
CAGL0A02321g,GWK60_A02123,QNG12198.1,HXT3,HXT3,2-to-2,Anc_5.396,YDR345C,HXT3,,"Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication"
CAGL0A02343g,GWK60_A02145,QNG12199.1,GWK60_A02145,,1-to-0,,,,,
CAGL0A02365g,GWK60_A02167,QNG12200.1,GWK60_A02167,,1-to-1,Anc_5.397,YDR346C,SVF1,,Protein with a potential role in cell survival pathways; required for the diauxic growth shift; expression in mammalian cells increases survival under conditions inducing apoptosis; mutant has increased aneuploidy tolerance
CAGL0A02387g,GWK60_A02189,QNG12201.1,GWK60_A02189,,1-to-1,Anc_5.398,YDR347W,MRP1,,"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein"
CAGL0A02409g,GWK60_A02211,QNG12202.1,GWK60_A02211,,1-to-2,Anc_5.399,YDR348C,PAL1,,"Protein of unknown function thought to be involved in endocytosis; physically interacts with Ede1p and is found at endocytic sites at cell periphery during early stages of endocytosis; green fluorescent protein (GFP)-fusion protein localizes to bud neck; potential Cdc28p substrate; similar to S. pombe Pal1 protein; relocalizes from bud neck to cytoplasm upon DNA replication stress; PAL1 has a paralog, YHR097C, that arose from the whole genome duplication"
CAGL0A02431g,GWK60_A02233,QNG12203.1,YPS7,YPS7,1-to-1,Anc_5.401,YDR349C,YPS7,,Putative GPI-anchored aspartic protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; located in the cytoplasm and endoplasmic reticulum
CAGL0A02475g,GWK60_A02277,QNG12204.1,GWK60_A02277,,1-to-1,Anc_5.405,YDR350C,ATP22,,Specific translational activator for the mitochondrial ATP6 mRNA; Atp6p encodes a subunit of F1F0 ATP synthase; localized to the mitochondrial inner membrane
CAGL0A02486g,GWK60_A02299,QNG12205.1,GWK60_A02299,,2-to-2,Anc_5.407,YDR351W,SBE2,,"Protein required for bud growth; involved in transport of cell wall components from the Golgi to the cell surface; SBE2 has a paralog, SBE22, that arose from the whole genome duplication"
CAGL0A02508g,GWK60_A02321,QNG12206.1,GWK60_A02321,,1-to-1,Anc_5.408,YDR352W,YPQ2,,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; member of the PQ-loop family, with seven transmembrane domains; mutant phenotype is functionally complemented by rat PQLC2 vacuolar transporter"
CAGL0A02530g,GWK60_A02343,QNG12207.1,GWK60_A02343,,2-to-2,Anc_5.411,YDR353W,TRR1,inviable,"Cytoplasmic thioredoxin reductase; key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress; protein abundance increases in response to DNA replication stress; TRR1 has a paralog, TRR2, that arose from the whole genome duplication"
CAGL0A02552g,GWK60_A02365,QNG12208.1,GWK60_A02365,,2-to-1,Anc_5.412,,,,
CAGL0A02574g,GWK60_A02387,QNG12209.1,GWK60_A02387,,1-to-1,Anc_5.413,YDR354W,TRP4,,Anthranilate phosphoribosyl transferase; transferase of the tryptophan biosynthetic pathway; catalyzes the phosphoribosylation of anthranilate; subject to the general control system of amino acid biosynthesis
CAGL0A02596g,GWK60_A02409,QNG12210.1,GWK60_A02409,,1-to-1,Anc_5.414,YDR356W,SPC110,inviable,Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner
CAGL0A02618g,GWK60_A02431,QNG12211.1,GWK60_A02431,,1-to-1,Anc_5.415,YDR357C,CNL1,,Subunit of the BLOC-1 complex involved in endosomal maturation; interacts with Msb3p; null mutant is sensitive to drug inducing secretion of vacuolar cargo; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
CAGL0A02629g,GWK60_A02453,QNG12212.1,GWK60_A02453,,1-to-2,Anc_5.416,YDR358W,GGA1,,"Golgi-localized protein with homology to gamma-adaptin; interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi; GGA1 has a paralog, GGA2, that arose from the whole genome duplication"
CAGL0A02651g,GWK60_A02475,QNG12213.1,GWK60_A02475,,1-to-1,Anc_5.417,YDR359C,EAF1,,"Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1"
CAGL0A02673g,GWK60_A02497,QNG12214.1,GWK60_A02497,,1-to-1,Anc_5.418,YDR361C,BCP1,inviable,"Essential protein involved in nuclear export of Mss4p; Mss4p is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"
