"gwk60_id","qng_id","cagl_id","gene_name"
"GWK60_E04939","QNG13264.1","CAGL0E05280g","GRE2(B)"
"GWK60_M04521","QNG16908.1","CAGL0M04609g","SPE4"
"GWK60_J04873","QNG15087.1","CAGL0J05060g","ZAP1"
"GWK60_K01309","QNG15453.1","CAGL0K01463g","SIR2"
"GWK60_K12441","QNG15939.1","CAGL0K12694g","ACT1"
"GWK60_E05049","QNG13269.1","CAGL0E05390g","ALA1"
"GWK60_A01595","QNG12177.1","CAGL0A01782g","HXT4"
"GWK60_A01617","QNG12178.1","CAGL0A01804g","HXT1"
"GWK60_A01639","QNG12179.1","CAGL0A01826g","HXT5"
"GWK60_K09757","QNG15823.1","CAGL0K09966g","PRT1"
"GWK60_H05203","QNG14367.1","CAGL0H05291g","MUK1"
"GWK60_F07205","QNG13639.1","CAGL0F07667g","MSS11"
"GWK60_C00451","QNG12547.1","CAGL0C00627g","ATG14"
"GWK60_K01529","QNG15463.1","CAGL0K01683g","GPD1"
"GWK60_F01705","QNG13399.1","CAGL0F01947g","IRC15"
"GWK60_K01573","QNG15465.1","CAGL0K01727g","RPN4"
"GWK60_F07293","QNG13643.1","CAGL0F07755g","CEP3"
"GWK60_H05357","QNG14374.1","CAGL0H05445g","PGI1"
"GWK60_F01793","QNG13403.1","CAGL0F02035g","CTF19"
"GWK60_M13277","QNG17290.1","CAGL0M13343g","GND1"
"GWK60_F07403","QNG13648.1","CAGL0F07865g","UPC2B"
"GWK60_D03751","QNG12920.1","CAGL0D03586g","ACP1"
"GWK60_C00671","QNG12557.1","CAGL0C00847g","EPA8"
"GWK60_A02035","QNG12194.1","CAGL0A02211g","HXT6/7"
"GWK60_A02057","QNG12195.1","CAGL0A02233g","HXT4/6/7"
"GWK60_I03245","QNG14746.1","CAGL0I07755g","HAL9"
"GWK60_H05577","QNG14383.1","CAGL0H05665g","GLR1"
"GWK60_A02123","QNG12198.1","CAGL0A02321g","HXT3"
"GWK60_F07579","QNG13656.1","CAGL0F08041g","PFK1"
"GWK60_C00825","QNG12564.1","CAGL0C01265g","GLM4"
"GWK60_K01925","QNG15480.1","CAGL0K02079g","GLC7"
"GWK60_F07645","QNG13659.1","CAGL0F08107g","LSC2"
"GWK60_A02233","QNG12203.1","CAGL0A02431g","YPS7"
"GWK60_L14377","QNG16576.1","CAGL0L10406g","CYT1"
"GWK60_I06369","QNG14875.1","CAGL0I10945g","YCA1"
"GWK60_D04059","QNG12934.1","CAGL0D03894g","PRO1"
"GWK60_L06017","QNG16213.1","CAGL0L02123g","SNF5"
"GWK60_M13673","QNG17308.1","CAGL0M13739g","ATM1"
"GWK60_D01375","QNG12815.1","CAGL0D01265g","MT-I"
"GWK60_F07821","QNG13667.1","CAGL0F08283g","GCN5"
"GWK60_L14531","QNG16583.1","CAGL0L10560g","PDR13"
"GWK60_M05467","QNG16948.1","CAGL0M05533g","DUR1,2"
"GWK60_E05885","QNG13306.1","CAGL0E06248g","RCN1"
"GWK60_H05951","QNG14400.1","CAGL0H06017g","FLR1"
"GWK60_H05973","QNG14401.1","CAGL0H06039g","FLR2"
"GWK60_K10615","QNG15859.1","CAGL0K10868g","CTA1"
"GWK60_M05599","QNG16953.1","CAGL0M05643g","YFH1"
"GWK60_E05995","QNG13311.1","CAGL0E06358g","GPM1"
"GWK60_K02321","QNG15498.1","CAGL0K02475g","DSS4"
"GWK60_K02343","QNG15499.1","CAGL0K02497g","TIF6"
"GWK60_H06127","QNG14407.1","CAGL0H06215g","GAL11A"
"GWK60_C01309","QNG12586.1","CAGL0C01705g","GPX2"
"GWK60_D04455","QNG12951.1","CAGL0D04290g","SEC14"
"GWK60_K02431","QNG15503.1","CAGL0K02585g","YAP3"
"GWK60_M14047","QNG17325.1","CAGL0M14113g","TNR2"
"GWK60_F08195","QNG13683.1","CAGL0F08657g","PEX23"
"GWK60_H06259","QNG14413.1","CAGL0H06347g","DEP1"
"GWK60_H06281","QNG14414.1","CAGL0H06369g","CYS3"
"GWK60_E06237","QNG13322.1","CAGL0E06644g","EPA1"
"GWK60_E06259","QNG13323.1","CAGL0E06666g","EPA2"
"GWK60_E06281","QNG13324.1","CAGL0E06688g","EPA3"
"GWK60_F00011","QNG13325.1","CAGL0F00077g","EPA16"
"GWK60_H06391","QNG14419.1","CAGL0H06479g","REH1"
"GWK60_F00055","QNG13327.1","CAGL0F00187g","FET4"
"GWK60_K02695","QNG15514.1","CAGL0K02827g","DID4"
"GWK60_A02981","QNG12236.1","CAGL0A03102g","ARO10"
"GWK60_M06039","QNG16973.1","CAGL0M06083g","SSE1"
"GWK60_G08063","QNG14059.1","CAGL0G08316g","ARV1"
"GWK60_F02959","QNG13453.1","CAGL0F03245g","IRE1"
"GWK60_G08107","QNG14061.1","CAGL0G08360g","VPS34"
"GWK60_K11187","QNG15884.1","CAGL0K11396g","SIR4"
"GWK60_A03113","QNG12242.1","CAGL0A03234g","EFT2"
"GWK60_F08591","QNG13700.1","CAGL0F09097g","SKN7"
"GWK60_C01793","QNG12608.1","CAGL0C02189g","SAH1"
"GWK60_C01815","QNG12609.1","CAGL0C02211g","UTR2"
"GWK60_C04675","QNG12731.1","CAGL0C05159g","HLP"
"GWK60_B01309","QNG12368.1","CAGL0B01507g","ARG8"
"GWK60_H06721","QNG14434.1","CAGL0H06765g","BNR1"
"GWK60_K03003","QNG15528.1","CAGL0K03157g","DUR31"
"GWK60_C01925","QNG12614.1","CAGL0C02321g","PHM8"
"GWK60_C01947","QNG12615.1","CAGL0C02343g","ARB1"
"GWK60_F00473","QNG13345.1","CAGL0F00605g","GLK1"
"GWK60_A03355","QNG12253.1","CAGL0A03476g","SMF3"
"GWK60_K03113","QNG15533.1","CAGL0K03267g","OPI1"
"GWK60_A03421","QNG12255.1","CAGL0A03542g","COX12"
"GWK60_F00561","QNG13349.1","CAGL0F00693g","PRO2"
"GWK60_G00165","QNG13714.1","CAGL0G00286g","GAS1"
"GWK60_M09339","QNG17115.1","CAGL0M09405g","RTG3"
"GWK60_J01199","QNG14930.1","CAGL0J01287g","AIP1"
"GWK60_F00649","QNG13353.1","CAGL0F00803g","GAL11B"
"GWK60_F00671","QNG13354.1","CAGL0F00825g","GSH2"
"GWK60_A03575","QNG12262.1","CAGL0A03696g","GAL83"
"GWK60_K06083","QNG15663.1","CAGL0K06259g","TSA1"
"GWK60_J09625","QNG15298.1","CAGL0J09812g","TPS1"
"GWK60_F00759","QNG13358.1","CAGL0F00935g","PEX15"
"GWK60_F00781","QNG13359.1","CAGL0F00957g","TPD3"
"GWK60_K03421","QNG15546.1","CAGL0K03553g","FOL3"
"","QNG16640.1","CAGL0L11858g","CCA1"
"GWK60_D05643","QNG12997.1","CAGL0D05434g","ROX1"
"GWK60_A03795","QNG12270.1","CAGL0A03905g","HMX1"
"GWK60_H07227","QNG14457.1","CAGL0H07249g","DYS1"
"GWK60_K11913","QNG15915.1","CAGL0K12144g","FES1"
"GWK60_D00099","QNG12758.1","CAGL0L00319g","ERG20"
"GWK60_L07579","QNG16281.1","CAGL0L07656g","GLO1"
"GWK60_G00583","QNG13732.1","CAGL0G00726g","RFA1"
"GWK60_H10087","QNG14583.1","CAGL0H10142g","ARO3"
"GWK60_A03949","QNG12277.1","CAGL0A04059g","NMT1"
"GWK60_H07381","QNG14464.1","CAGL0H07403g","KRE2"
"GWK60_F01067","QNG13372.1","CAGL0F01265g","YAP7"
"GWK60_F01089","QNG13373.1","CAGL0F01287g","GAS5"
"GWK60_A04037","QNG12281.1","CAGL0A04147g","PEX13"
"GWK60_G00781","QNG13739.1","CAGL0G00924g","GLM5"
"GWK60_F01199","QNG13376.1","CAGL0F01419g","AUS1"
"GWK60_F01221","QNG13377.1","CAGL0F01463g","TIR1"
"GWK60_F01243","QNG13378.1","CAGL0F01485g","TIR2"
"GWK60_F01265","QNG13379.1","CAGL0F01507g","SLG1"
"GWK60_G00891","QNG13744.1","CAGL0G01034g","FKS1"
"GWK60_G00913","QNG13745.1","CAGL0G01056g","GAS3"
"GWK60_K03905","QNG15568.1","CAGL0K04037g","FKS2"
"GWK60_M01727","QNG16783.1","CAGL0M01826g","ECM33"
"GWK60_C02871","QNG12655.1","CAGL0C03267g","FPS1"
"GWK60_H07689","QNG14478.1","CAGL0H07711g","RTF1"
"GWK60_A04301","QNG12293.1","CAGL0A04411g","SKT5"
"GWK60_K12397","QNG15937.1","CAGL0K12650g","TUB2"
"GWK60_A04345","QNG12295.1","CAGL0A04455g","SEF1"
"GWK60_B02409","QNG12417.1","CAGL0B02563g","GIN3"
"GWK60_C03003","QNG12661.1","CAGL0C03399g","POP2"
"GWK60_H07821","QNG14484.1","CAGL0H07843g","HAP2"
"GWK60_F01551","QNG13392.1","CAGL0F01793g","ERG3"
"GWK60_A04455","QNG12300.1","CAGL0A04565g","SWI4"
"GWK60_F01595","QNG13394.1","CAGL0F01837g","SPT8"
"GWK60_I05819","QNG14852.1","CAGL0I10384g","TPO3"
"GWK60_K12595","QNG15946.1","CAGL0K12848g","SEC53"
"GWK60_L08261","QNG16311.1","CAGL0L06952g","TIF34"
"GWK60_H07975","QNG14491.1","CAGL0H07997g","KNH1"
"GWK60_I00143","QNG14613.1","CAGL0D00264g","NUD1"
"GWK60_L16709","QNG16679.1","CAGL0L12782g","DIG1"
"GWK60_A04631","QNG12308.1","CAGL0A04785g","RTG2"
"GWK60_G01397","QNG13766.1","CAGL0G01540g","NCE103"
"GWK60_B02717","QNG12431.1","CAGL0B02838g","MUP1"
"GWK60_K12771","QNG15954.1","CAGL0K13024g","AED1"
"GWK60_B02761","QNG12433.1","CAGL0B02882g","BMT2"
"GWK60_L00033","QNG15956.1","CAGL0I00220g","EPA23"
"GWK60_I06083","QNG14864.1","CAGL0I10648g","ASN2"
"GWK60_B00099","QNG12315.1","CAGL0B00264g","MTLalpha2"
"GWK60_C03487","QNG12680.1","CAGL0C03872g","TIR3"
"GWK60_H08239","QNG14503.1","CAGL0H08283g","HSP10"
"GWK60_I06193","QNG14868.1","CAGL0I10769g","MCM1"
"GWK60_H08283","QNG14505.1","CAGL0H08327g","TPI1"
"GWK60_K04609","QNG15599.1","CAGL0K04741g","SSB2"
"GWK60_L17017","QNG16693.1","CAGL0L13090g","NDT80"
"GWK60_L17039","QNG16694.1","CAGL0L13112g","RGR1"
"GWK60_F02101","QNG13416.1","CAGL0F02387g","PHO87"
"GWK60_F02145","QNG13417.1","CAGL0F02431g","ACO2"
"GWK60_G01771","QNG13782.1","CAGL0G01903g","MET1"
"GWK60_I00605","QNG14633.1","CAGL0I05170g","CST6"
"GWK60_K04763","QNG15606.1","CAGL0K04917g","RAP1"
"GWK60_I06435","QNG14878.1","CAGL0I11033g","EPA4"
"GWK60_I06457","QNG14879.1","CAGL0I11055g","EPA5"
"GWK60_L08811","QNG16336.1","CAGL0L06402g","YCF1"
"GWK60_F02299","QNG13424.1","CAGL0F02563g","HPT1"
"GWK60_L17259","QNG16704.1","CAGL0L13332g","EPA13"
"GWK60_L17281","QNG16705.1","CAGL0L13354g","TNR1"
"GWK60_B00517","QNG12334.1","CAGL0B00704g","PDI1"
"GWK60_L08965","QNG16342.1","CAGL0L06270g","BMH1(B)"
"GWK60_M00033","QNG16708.1","CAGL0M00132g","EPA12"
"GWK60_F02431","QNG13430.1","CAGL0F02717g","PDH1"
"GWK60_B00605","QNG12338.1","CAGL0B00770g","AUT4"
"GWK60_H00451","QNG14160.1","CAGL0H00638g","VIK1"
"GWK60_M08437","QNG17076.1","CAGL0M08492g","PIR3"
"GWK60_H08789","QNG14527.1","CAGL0H08822g","MMT2"
"GWK60_B00693","QNG12342.1","CAGL0B00858g","STE50"
"GWK60_M00187","QNG16715.1","CAGL0M00286g","HIR3"
"GWK60_B00737","QNG12344.1","CAGL0B00902g","HIS4"
"GWK60_K05181","QNG15624.1","CAGL0K05357g","GLN1"
"GWK60_K05203","QNG15625.1","CAGL0K05379g","VMA13"
"GWK60_C04235","QNG12711.1","CAGL0C04741g","SOD1"
"GWK60_B00825","QNG12348.1","CAGL0B00990g","HBN1"
"GWK60_L00825","QNG15992.1","CAGL0I01012g","PEP12"
"GWK60_M08635","QNG17085.1","CAGL0M08690g","PEX10"
"GWK60_K05313","QNG15630.1","CAGL0K05467g","CDC21"
"GWK60_B00935","QNG12352.1","CAGL0B01122g","SAM1"
"GWK60_L00913","QNG15996.1","CAGL0I01100g","GCY1"
"GWK60_B00979","QNG12354.1","CAGL0B01166g","SWI6"
"GWK60_M08767","QNG17091.1","CAGL0M08822g","HSP78"
"GWK60_G02453","QNG13813.1","CAGL0G02585g","LYS12"
"GWK60_B01045","QNG12357.1","CAGL0B01232g","EMG1"
"GWK60_H09163","QNG14544.1","CAGL0H09196g","VRG4"
"GWK60_B01089","QNG12359.1","CAGL0B01287g","BUD5"
"GWK60_D02057","QNG12845.1","CAGL0D01936g","SNF7"
"GWK60_B01155","QNG12361.1","CAGL0B01353g","SPT20"
"GWK60_E00957","QNG13090.1","CAGL0E01177g","CPR1"
"GWK60_B01199","QNG12363.1","CAGL0B01397g","NOP8"
"GWK60_B01221","QNG12364.1","CAGL0B01419g","RIB4"
"GWK60_B01243","QNG12365.1","CAGL0B01441g","RPD3"
"GWK60_F03113","QNG13459.1","CAGL0F03399g","SCS7"
"GWK60_F05907","QNG13581.1","CAGL0F06347g","STV1"
"GWK60_D02233","QNG12853.1","CAGL0D02090g","ASC1"
"GWK60_B01331","QNG12369.1","CAGL0B01529g","PEX7"
"GWK60_J09317","QNG15284.1","CAGL0J09504g","MET12"
"GWK60_B01375","QNG12371.1","CAGL0B01573g","MTQ2"
"GWK60_F03245","QNG13465.1","CAGL0F03553g","DAP1"
"GWK60_J09383","QNG15287.1","CAGL0J09570g","PEX5B"
"GWK60_E01221","QNG13102.1","CAGL0E01463g","CDC33"
"GWK60_C04851","QNG12739.1","CAGL0C05335g","RTG1"
"GWK60_B01507","QNG12376.1","CAGL0B01683g","TMN2"
"GWK60_C04895","QNG12741.1","CAGL0C05379g","SSB1"
"GWK60_J01155","QNG14928.1","CAGL0J01243g","CTF13"
"GWK60_D05357","QNG12985.1","CAGL0D05170g","PHO4"
"GWK60_E01331","QNG13107.1","CAGL0E01567g","RBX1"
"GWK60_M01045","QNG16753.1","CAGL0M01144g","MSN5"
"GWK60_G03047","QNG13839.1","CAGL0G03179g","ASK10"
"GWK60_L01661","QNG16026.1","CAGL0I01870g","PEX24"
"GWK60_L04477","QNG16148.1","CAGL0I04730g","HMT1"
"GWK60_E01463","QNG13112.1","CAGL0E01683g","YGK3"
"GWK60_H09823","QNG14572.1","CAGL0H09878g","IPP1"
"GWK60_F03575","QNG13480.1","CAGL0F03883g","GAS4"
"GWK60_C05137","QNG12752.1","CAGL0C05687g","EPA25"
"GWK60_B01793","QNG12389.1","CAGL0B01947g","INO2"
"GWK60_M01243","QNG16762.1","CAGL0M01342g","PEX3"
"GWK60_M01265","QNG16763.1","CAGL0M01364g","CBF3D"
"GWK60_F03685","QNG13485.1","CAGL0F03993g","ERG8"
"GWK60_G03289","QNG13850.1","CAGL0G03421g","FLO8"
"GWK60_M12375","QNG17251.1","CAGL0M12430g","RHR2"
"GWK60_L01925","QNG16038.1","CAGL0I02134g","PEX21B"
"GWK60_M09691","QNG17131.1","CAGL0M09735g","MEC3"
"GWK60_M04103","QNG16889.1","CAGL0M04191g","YPS1"
"GWK60_M01419","QNG16770.1","CAGL0M01518g","SHE9"
"GWK60_M01441","QNG16771.1","CAGL0M01540g","SPT3"
"GWK60_J01749","QNG14950.1","CAGL0J01892g","PAN1"
"GWK60_B02057","QNG12401.1","CAGL0B02211g","CCH1"
"GWK60_M01529","QNG16774.1","CAGL0M01628g","SAC7"
"GWK60_K06523","QNG15682.1","CAGL0K06677g","MET8"
"GWK60_L10549","QNG16411.1","CAGL0L04664g","HEM15"
"GWK60_M12617","QNG17261.1","CAGL0M12705g","PHM4"
"GWK60_K06589","QNG15685.1","CAGL0K06743g","YBP1"
"GWK60_D00385","QNG12771.1","CAGL0L00605g","CNB1"
"GWK60_M01661","QNG16780.1","CAGL0M01760g","CDR1"
"GWK60_F04059","QNG13502.1","CAGL0F04433g","URA7"
"GWK60_G03663","QNG13867.1","CAGL0G03795g","SSA1"
"GWK60_K09493","QNG15811.1","CAGL0K09724g","FPR1"
"GWK60_M10043","QNG17147.1","CAGL0M10087g","YAP3b"
"GWK60_B02321","QNG12413.1","CAGL0B02475g","PHO84"
"GWK60_K06765","QNG15693.1","CAGL0K06919g","MCX1"
"GWK60_L02343","QNG16057.1","CAGL0I02552g","STB5"
"GWK60_K06809","QNG15695.1","CAGL0K06963g","ROT2"
"GWK60_I02717","QNG14724.1","CAGL0I07227g","IDH2"
"GWK60_L02431","QNG16060.1","CAGL0I02662g","YKU70"
"GWK60_B02453","QNG12419.1","CAGL0B02607g","HEM1"
"GWK60_H10593","QNG14606.1","CAGL0H10648g","EPA17"
"GWK60_F07117","QNG13635.1","CAGL0F07579g","CWP1.2"
"GWK60_I00033","QNG14608.1","CAGL0D00154g","AQY1"
"GWK60_E02343","QNG13151.1","CAGL0E02541g","PHO80"
"GWK60_H02409","QNG14245.1","CAGL0H02607g","SPE2"
"GWK60_B02585","QNG12425.1","CAGL0B02739g","STE11"
"GWK60_G06831","QNG14004.1","CAGL0G07106g","APT1"
"GWK60_C00473","QNG12548.1","CAGL0C00649g","VMA2"
"GWK60_B02651","QNG12428.1","CAGL0B02772g","VPS38"
"GWK60_M02123","QNG16801.1","CAGL0M02211g","PEP4"
"GWK60_I00209","QNG14616.1","CAGL0L00671g","FCY21"
"GWK60_D06633","QNG13037.1","CAGL0D06446g","STT4"
"GWK60_J02475","QNG14982.1","CAGL0J02662g","IRC5"
"GWK60_F04565","QNG13524.1","CAGL0F04961g","SMD2"
"GWK60_B02783","QNG12434.1","CAGL0B02904g","BMT6"
"GWK60_B02805","QNG12435.1","CAGL0B02926g","BMT3"
"GWK60_B02827","QNG12436.1","CAGL0B02948g","BMT4"
"GWK60_B02849","QNG12437.1","CAGL0B02970g","BMT5"
"GWK60_K07315","QNG15717.1","CAGL0K07480g","PGM1"
"GWK60_B02893","QNG12439.1","CAGL0B03047g","ILV5"
"GWK60_B02915","QNG12440.1","CAGL0B03069g","TAL1"
"GWK60_I00473","QNG14627.1","CAGL0L00935g","APQ12"
"","QNG13535.1","CAGL0F05203g","RIB7"
"GWK60_J02739","QNG14993.1","CAGL0J02926g","PET117"
"GWK60_K07447","QNG15723.1","CAGL0K07634g","GAT1"
"GWK60_K07469","QNG15724.1","CAGL0K07656g","FRS2"
"GWK60_F07667","QNG13660.1","CAGL0F08129g","SDA1"
"GWK60_E05665","QNG13296.1","CAGL0E06028g","ALG5"
"GWK60_K04697","QNG15603.1","CAGL0K04851g","PEX17"
"GWK60_I00649","QNG14635.1","CAGL0I05214g","CAP2"
"GWK60_I00671","QNG14636.1","CAGL0I05236g","BCY1"
"GWK60_G04631","QNG13907.1","CAGL0G04851g","SUR4"
"GWK60_M02629","QNG16824.1","CAGL0M02739g","ANC1"
"GWK60_B03223","QNG12453.1","CAGL0B03399g","RIF1"
"GWK60_M02651","QNG16825.1","CAGL0M02761g","TBF1"
"GWK60_J03003","QNG15005.1","CAGL0J03212g","ALD5"
"GWK60_D01485","QNG12820.1","CAGL0D01364g","CYC8"
"GWK60_B03311","QNG12457.1","CAGL0B03487g","TEF3"
"GWK60_D01529","QNG12822.1","CAGL0D01408g","SPE3"
"GWK60_H03267","QNG14280.1","CAGL0H03487g","AFT1"
"GWK60_J11275","QNG15373.1","CAGL0J11484g","DUG3"
"GWK60_J03135","QNG15011.1","CAGL0J03322g","FMP29"
"GWK60_I03773","QNG14769.1","CAGL0I08283g","PRO3"
"GWK60_J03179","QNG15013.1","CAGL0J03366g","GET2"
"GWK60_L03553","QNG16107.1","CAGL0I03828g","RPB1"
"GWK60_D01683","QNG12829.1","CAGL0D01562g","FCY1"
"GWK60_I01067","QNG14652.1","CAGL0I05632g","PHO91"
"GWK60_E03399","QNG13195.1","CAGL0E03674g","TPO1_2"
"GWK60_K07997","QNG15747.1","CAGL0K08184g","CCP1"
"GWK60_L03663","QNG16112.1","CAGL0I03938g","PPH21"
"GWK60_L03685","QNG16113.1","CAGL0I03960g","VMA1"
"GWK60_J11539","QNG15385.1","CAGL0J11748g","PLB2"
"GWK60_B03663","QNG12472.1","CAGL0B03839g","MET3"
"GWK60_L06545","QNG16237.1","CAGL0L08580g","RPN10"
"GWK60_C01507","QNG12595.1","CAGL0C01919g","MFA2"
"GWK60_I01265","QNG14661.1","CAGL0I05830g","VPS27"
"GWK60_J11649","QNG15390.1","CAGL0J11858g","RML2"
"GWK60_F05599","QNG13570.1","CAGL0F05995g","MSN2"
"GWK60_F05621","QNG13571.1","CAGL0F06017g","LYS7"
"GWK60_L03905","QNG16122.1","CAGL0I04180g","AMT1"
"GWK60_L12221","QNG16487.1","CAGL0L03003g","GCN3"
"GWK60_C04499","QNG12723.1","CAGL0C04983g","ADO1"
"GWK60_J03641","QNG15032.1","CAGL0J03828g","MKK1"
"GWK60_F05753","QNG13576.1","CAGL0F06171g","nup116"
"GWK60_M11693","QNG17220.1","CAGL0M11748g","HOG1"
"GWK60_E03795","QNG13213.1","CAGL0E04092g","SIT1"
"GWK60_I01507","QNG14672.1","CAGL0I06050g","INO1"
"GWK60_H03883","QNG14308.1","CAGL0H04081g","ERG13"
"GWK60_C04653","QNG12730.1","CAGL0C05137g","GPD2"
"GWK60_H01067","QNG14188.1","CAGL0H01287g","SSD1"
"GWK60_G05511","QNG13946.1","CAGL0G05698g","GDH2"
"GWK60_C01881","QNG12612.1","CAGL0C02277g","GLN3"
"GWK60_F05973","QNG13584.1","CAGL0F06413g","FET3"
"GWK60_I01617","QNG14677.1","CAGL0I06160g","PIR4"
"GWK60_K08613","QNG15773.1","CAGL0K08800g","ADI1"
"GWK60_L09801","QNG16379.1","CAGL0L05434g","SUN4"
"GWK60_L04279","QNG16139.1","CAGL0I04532g","MNN2"
"GWK60_J03971","QNG15047.1","CAGL0J04158g","RCN2"
"GWK60_B04257","QNG12498.1","CAGL0B04389g","CHS3"
"GWK60_J04015","QNG15049.1","CAGL0J04202g","HSP12"
"GWK60_H01309","QNG14199.1","CAGL0H01529g","CPR5"
"GWK60_K09691","QNG15820.1","CAGL0K09900g","HAP5"
"GWK60_G00209","QNG13716.1","CAGL0G00308g","SCW4"
"GWK60_F06237","QNG13596.1","CAGL0F06677g","GPA1"
"GWK60_B04389","QNG12504.1","CAGL0B04521g","RAS1"
"GWK60_K03289","QNG15540.1","CAGL0K03443g","YKU80"
"GWK60_L04455","QNG16147.1","CAGL0I04708g","PDX3"
"GWK60_I01991","QNG14693.1","CAGL0I06512g","BEM2"
"GWK60_K00605","QNG15422.1","CAGL0K00759g","ZPR1"
"GWK60_B04499","QNG12509.1","CAGL0B04631g","INP53"
"GWK60_D02695","QNG12874.1","CAGL0D02530g","EGT2"
"GWK60_L04609","QNG16154.1","CAGL0I04862g","SNQ2"
"GWK60_L12947","QNG16519.1","CAGL0L08932g","LSP1"
"GWK60_M06787","QNG17006.1","CAGL0M06831g","CRZ1"
"GWK60_D02783","QNG12878.1","CAGL0D02618g","PEX11"
"GWK60_E01661","QNG13121.1","CAGL0E01881g","YPS11"
"GWK60_H09977","QNG14578.1","CAGL0H10032g","PST2"
