standard_name	scer_id	scer_gene_name	Orthogroup	score_mean	n_libs
GWK60_A01045	YPL269W	KAR9	OG0003263	0.8684356405772473	1
GWK60_A01067	YPL268W	PLC1	OG0003509	0.8328113553113553	1
GWK60_A01089				0.1	1
GWK60_A01111	YPL265W	DIP5	OG0000756	0.26	1
GWK60_A01133	YLL052C	AQY2	OG0000552	0.15	1
GWK60_A01155				0.28	1
GWK60_A01177				0.34	1
GWK60_A01199	YGL025C	PGD1	OG0004065	0.35	1
GWK60_A01221				0.55	1
GWK60_A01243	YGL025C	PGD1	OG0004065	0.35	1
GWK60_A01265	YGL026C	TRP5	OG0002338	0.25	1
GWK60_A01287	YGL027C	CWH41	OG0001971	0.8684356405772473	1
GWK60_A01309	YGL028C	SCW11	OG0000491	0.35	1
GWK60_A01353	YGL030W	RPL30	OG0001529	0.8684356405772473	1
GWK60_A01375	YGL031C	RPL24A	OG0000988	0.4	1
GWK60_A01397	YGL032C	AGA2	OG0004584	0.8684356405772473	1
GWK60_A01419	YGL033W	HOP2	OG0003881	0.1	1
GWK60_A01441	YGL035C	MIG1	OG0000131	0.33	1
GWK60_A01463	YGR146C	ECL1	OG0000983	0.13	1
GWK60_A01485	YGR009C	SEC9	OG0002843	0.8684356405772473	1
GWK60_A01507	YGL036W	VIR1	OG0004211	0.32	1
GWK60_A01529	YGL037C	PNC1	OG0001800	0.41	1
GWK60_A01551	YGL038C	OCH1	OG0000200	0.8684356405772473	1
GWK60_A01573				0.8684356405772473	1
GWK60_A01595	YJL219W	HXT9	OG0000001	0.3	1
GWK60_A01617	YDR345C	HXT3	OG0000001	0.33	1
GWK60_A01639	YHR096C	HXT5	OG0000001	0.36	1
GWK60_A01661	YHR098C	SFB3	OG0001574	0.3876190476190476	1
GWK60_A01683				0.39	1
GWK60_A01705				0.16	1
GWK60_A01727	YHR099W	TRA1	OG0003315	0.8684356405772473	1
GWK60_A01771	YOL022C	TSR4	OG0001480	0.8684356405772473	1
GWK60_A01793	YOL023W	IFM1	OG0003358	0.8684356405772473	1
GWK60_A01815	YFR017C	IGD1	OG0004067	0.8684356405772473	1
GWK60_A01837	YOL025W	LAG2	OG0004585	0.8684356405772473	1
GWK60_A01859	YOR018W	ROD1	OG0000103	0.8684356405772473	1
GWK60_A01903	YHR020W	YHR020W	OG0001194	0.8684356405772473	1
GWK60_A01925	YHR019C	DED81	OG0001519	0.8684356405772473	1
GWK60_A01947	YHR017W	YSC83	OG0004212	0.8684356405772473	1
GWK60_A01969	YFR024C	YSC84	OG0000357	0.12	1
GWK60_A02013	YDR341C	YDR341C	OG0000549	0.8684356405772473	1
GWK60_A02035	YJL219W	HXT9	OG0000001	0.37	1
GWK60_A02057	YJL219W	HXT9	OG0000001	0.3	1
GWK60_A02079	YCL049C	YCL049C	OG0003972	0.15	1
GWK60_A02101	YCL049C	YCL049C	OG0003972	0.8684356405772473	1
GWK60_A02123	YDR345C	HXT3	OG0000001	0.33	1
GWK60_A02145				0.8684356405772473	1
GWK60_A02167	YDR346C	SVF1	OG0002260	0.8684356405772473	1
GWK60_A02189	YDR347W	MRP1	OG0001536	1.0	1
GWK60_A02211	YHR097C	PAL2	OG0000566	0.8684356405772473	1
GWK60_A02233	YDR349C	YPS7	OG0000769	0.52	1
GWK60_A02277	YDR350C	ATP22	OG0004213	0.36	1
GWK60_A02299	YDR351W	SBE2	OG0000113	0.36	1
GWK60_A02321	YDR352W	YPQ2	OG0001864	0.32	1
GWK60_A02343	YDR353W	TRR1	OG0000585	0.8684356405772473	1
GWK60_A02365	YHR107C	CDC12	OG0000226	0.32	1
GWK60_A02387	YDR354W	TRP4	OG0001964	0.25	1
GWK60_A02409	YDR356W	SPC110	OG0004214	0.8684356405772473	1
GWK60_A02431	YDR357C	CNL1	OG0003130	0.25	1
GWK60_A02453	YDR358W	GGA1	OG0000804	0.8684356405772473	1
GWK60_A02475	YDR359C	EAF1	OG0003214	0.8684356405772473	1
GWK60_A02497	YDR361C	BCP1	OG0002278	0.8684356405772473	1
GWK60_A02519	YDR362C	TFC6	OG0003200	0.4	1
GWK60_A02541	YDR363W	ESC2	OG0002200	0.8684356405772473	1
GWK60_A02563	YDR363W	nan	OG0003092	0.8684356405772473	1
GWK60_A02585	YOR117W	RPT5	OG0001597	0.8684356405772473	1
GWK60_A02607	YDR364C	CDC40	OG0003652	0.8684356405772473	1
GWK60_A02629	YDR367W	KEI1	OG0003749	0.8684356405772473	1
GWK60_A02651	YDR368W	YPR1	OG0000085	0.39	1
GWK60_A02673	YDR369C	XRS2	OG0004215	0.39	1
GWK60_A02695	YDR370C	DXO1	OG0003947	0.8684356405772473	1
GWK60_A02717				0.8684356405772473	1
GWK60_A02739	YDR371W	CTS2	OG0002008	0.8684356405772473	1
GWK60_A02761	YDR372C	VPS74	OG0001090	0.8684356405772473	1
GWK60_A02783	YDR373W	FRQ1	OG0001135	0.8684356405772473	1
GWK60_A02805	YDR374C	PHO92	OG0001411	0.35	1
GWK60_A02827				0.8684356405772473	1
GWK60_A02849	YDR375C	BCS1	OG0001805	0.31	1
GWK60_A02871	YDR376W	ARH1	OG0001556	0.8684356405772473	1
GWK60_A02893	YDR377W	ATP17	OG0002874	0.8684356405772473	1
GWK60_A02915	YDR378C	LSM6	OG0003748	0.24	1
GWK60_A02937	YDR379W	RGA2	OG0000350	0.32	1
GWK60_A02959	YDR379C	nan	OG0003922	0.8684356405772473	1
GWK60_A02981	YDR380W	ARO10	OG0001048	0.31	1
GWK60_A03003	YDR381W	YRA1	OG0000927	0.8684356405772473	1
GWK60_A03025	YDR381C	nan	OG0004068	0.25	1
GWK60_A03047	YDR382W	RPP2B	OG0000295	0.8684356405772473	1
GWK60_A03069	YDR383C	NKP1	OG0004216	0.1	1
GWK60_A03091	YDR384C	ATO3	OG0003973	0.35	1
GWK60_A03113	YDR385W	EFT2	OG0000653	0.42	1
GWK60_A03135	YDR386W	MUS81	OG0002239	0.8684356405772473	1
GWK60_A03157	YBL027W	RPL19B	OG0001001	0.8684356405772473	1
GWK60_A03179	YGL192W	IME4	OG0002023	0.27	1
GWK60_A03201	YGL194C	HOS2	OG0001858	0.8684356405772473	1
GWK60_A03223	YNL008C	ASI3	OG0000377	1.0	1
GWK60_A03245	YLR028C	ADE16	OG0000979	0.8684356405772473	1
GWK60_A03267	YLR029C	RPL15A	OG0001024	0.8684356405772473	1
GWK60_A03289	YOL017W	ESC8	OG0000327	0.8684356405772473	1
GWK60_A03311	YLR032W	RAD5	OG0002142	0.8684356405772473	1
GWK60_A03333	YLR033W	RSC58	OG0003050	0.8684356405772473	1
GWK60_A03355	YLR034C	SMF3	OG0000041	0.25	1
GWK60_A03377	YLR035C	MLH2	OG0004586	0.22	1
GWK60_A03421	YLR038C	COX12	OG0002602	0.8684356405772473	1
GWK60_A03443	YLR039C	RIC1	OG0004069	1.0	1
GWK60_A03465	YLR040C	AFB1	OG0004217	0.8684356405772473	1
GWK60_A03487				0.8684356405772473	1
GWK60_A03509	YGR047C	TFC4	OG0002350	0.8684356405772473	1
GWK60_A03531	YBR142W	MAK5	OG0002284	0.8684356405772473	1
GWK60_A03553	YBR141C	BMT2	OG0001710	0.8684356405772473	1
GWK60_A03575	YER027C	GAL83	OG0000337	0.8684356405772473	1
GWK60_A03597	YGL206C	CHC1	OG0003511	0.8684356405772473	1
GWK60_A03619	YGL205W	POX1	OG0000133	0.54	1
GWK60_A03663	YOR297C	TIM18	OG0000142	0.8684356405772473	1
GWK60_A03685	YOR298W	MUM3	OG0001367	0.34	1
GWK60_A03707	YOR301W	RAX1	OG0002342	0.8684356405772473	1
GWK60_A03751	YDL161W	ENT1	OG0001093	0.8684356405772473	1
GWK60_A03773				0.36	1
GWK60_A03795	YLR205C	HMX1	OG0003821	0.3	1
GWK60_A03817	YLR203C	MSS51	OG0002434	0.32	1
GWK60_A03839	YLR201C	COQ9	OG0003258	0.8684356405772473	1
GWK60_A03861	YLR200W	YKE2	OG0002505	0.8684356405772473	1
GWK60_A03883	YLR199C	PBA1	OG0003581	0.8684356405772473	1
GWK60_A03905	YLR197W	NOP56	OG0001292	0.8684356405772473	1
GWK60_A03927	YLR196W	PWP1	OG0002968	0.8684356405772473	1
GWK60_A03949	YLR195C	NMT1	OG0001655	0.8684356405772473	1
GWK60_A03971	YLR194C	NCW2	OG0004218	0.8684356405772473	1
GWK60_A03993	YLR193C	UPS1	OG0002802	0.8684356405772473	1
GWK60_A04015	YLR192C	HCR1	OG0001312	0.4	1
GWK60_A04037	YLR191W	PEX13	OG0002779	0.8684356405772473	1
GWK60_A04059	YLR190W	MMR1	OG0004587	0.33	1
GWK60_A04081	YER019C	nan	OG0000440	0.21	1
GWK60_A04103	YBL051C	PIN4	OG0000493	0.8684356405772473	1
GWK60_A04125	YBL052C	SAS3	OG0001769	0.8684356405772473	1
GWK60_A04147	YER088C	DOT6	OG0000430	0.8684356405772473	1
GWK60_A04169		nan	OG0001879	0.29	1
GWK60_A04191	YBL056W	PTC3	OG0000425	0.3	1
GWK60_A04213	YBL057C	PTH2	OG0002183	0.9051030913530913	1
GWK60_A04235	YBL058W	SHP1	OG0001874	0.8684356405772473	1
GWK60_A04257	YBL059C	nan	OG0001157	0.25	1
GWK60_A04279	YBL059W	IAI11	OG0000737	0.8684356405772473	1
GWK60_A04301	YBL061C	SKT5	OG0002196	0.35	1
GWK60_A04323	YBL064C	PRX1	OG0000349	0.25	1
GWK60_A04345	YBL066C	SEF1	OG0001648	0.67	1
GWK60_A04367	YBL067C	UBP13	OG0000439	0.8684356405772473	1
GWK60_A04389	YBL071W	nan	OG0001790	0.8684356405772473	1
GWK60_A04411	YBL072C	RPS8A	OG0000899	0.8684356405772473	1
GWK60_A04433	YBL074C	AAR2	OG0003967	0.8684356405772473	1
GWK60_A04455	YER111C	SWI4	OG0003734	0.8684356405772473	1
GWK60_A04477	YBL082C	ALG3	OG0002683	0.35	1
GWK60_A04499	YBL081W	YBL081W	OG0004219	0.8684356405772473	1
GWK60_A04521	YBL080C	PET112	OG0002267	0.8684356405772473	1
GWK60_A04543	YBL078C	ATG8	OG0003566	0.8684356405772473	1
GWK60_A04565	YFR049W	KGD4	OG0002975	0.21	1
GWK60_A04587	YFR050C	PRE4	OG0001525	0.8684356405772473	1
GWK60_A04609	YFR051C	RET2	OG0001227	0.8684356405772473	1
GWK60_A04631	YGL252C	RTG2	OG0004070	0.36	1
GWK60_A04653	YFR052W	RPN12	OG0001945	0.8684356405772473	1
GWK60_A04675	YGL253W	HXK2	OG0000506	0.15	1
GWK60_A04697				0.8684356405772473	1
GWK60_B00011				0.8684356405772473	1
GWK60_B00055				0.8684356405772473	1
GWK60_B00077	YCL066W	HMLALPHA1	OG0004071	0.8684356405772473	1
GWK60_B00099	YCL067C	HMLALPHA2	OG0004072	0.8684356405772473	1
GWK60_B00121	YCL064C	CHA1	OG0000202	0.8684356405772473	1
GWK60_B00143	YCL063W	VAC17	OG0004220	0.8684356405772473	1
GWK60_B00165	YCL061C	MRC1	OG0002220	1.0	1
GWK60_B00187	YCL059C	KRR1	OG0002367	0.8684356405772473	1
GWK60_B00209	YCL058W	nan	OG0005357	0.8684356405772473	1
GWK60_B00231	YCL057C	nan	OG0002050	0.8684356405772473	1
GWK60_B00253	YCL057W	PRD1	OG0001913	0.36	1
GWK60_B00275				0.8684356405772473	1
GWK60_B00297	YCL055W	KAR4	OG0000480	0.38	1
GWK60_B00319	YCL054W	SPB1	OG0002638	0.8684356405772473	1
GWK60_B00341	YCL052C	PBN1	OG0002568	0.8684356405772473	1
GWK60_B00363	YDR528W	HLR1	OG0004073	0.38	1
GWK60_B00385	YDR530C	APA2	OG0001537	0.8684356405772473	1
GWK60_B00407	YCL048W	nan	OG0004588	0.8684356405772473	1
GWK60_B00429				0.8684356405772473	1
GWK60_B00451	YCL047C	POF1	OG0003833	0.8684356405772473	1
GWK60_B00473	YCL045C	EMC1	OG0001741	1.0	1
GWK60_B00495	YCL044C	MGR1	OG0002436	0.8684356405772473	1
GWK60_B00517	YCL043C	PDI1	OG0000372	0.36	1
GWK60_B00539				0.8684356405772473	1
GWK60_B00561				0.34	1
GWK60_B00583	YCL039W	GID7	OG0002522	0.8684356405772473	1
GWK60_B00605	YCL038C	ATG22	OG0004074	1.0	1
GWK60_B00627	YCL037C	SRO9	OG0000245	0.8684356405772473	1
GWK60_B00649	YCL034W	LSB5	OG0001630	0.34	1
GWK60_B00671	YCL033C	MXR2	OG0003785	0.8684356405772473	1
GWK60_B00693	YCL032W	STE50	OG0001555	0.8684356405772473	1
GWK60_B00715	YCL031C	RRP7	OG0001793	0.8684356405772473	1
GWK60_B00737	YCL030C	HIS4	OG0002088	0.3	1
GWK60_B00759	YCL029C	BIK1	OG0002308	0.8684356405772473	1
GWK60_B00781	YCL028W	RNQ1	OG0004589	0.8684356405772473	1
GWK60_B00803	YCL027W	FUS1	OG0003817	0.33	1
GWK60_B00825	YCL026C	nan	OG0004221	0.8684356405772473	1
GWK60_B00847	YCL025C	AGP1	OG0000034	0.4	1
GWK60_B00891	YLR177W	YLR177W	OG0000255	0.35	1
GWK60_B00913	YLR178C	TFS1	OG0000883	0.11	1
GWK60_B00935	YLR180W	SAM1	OG0000410	0.22	1
GWK60_B00957	YLR181C	VTA1	OG0002255	0.33	1
GWK60_B00979	YLR182W	SWI6	OG0001665	0.8684356405772473	1
GWK60_B01001	YLR183C	TOS4	OG0000627	0.8684356405772473	1
GWK60_B01023	YDR500C	RPL37B	OG0000982	0.8684356405772473	1
GWK60_B01045	YLR186W	EMG1	OG0001364	0.8684356405772473	1
GWK60_B01067	YCR097W	HMRA1	OG0001028	0.8684356405772473	1
GWK60_B01089	YCL068C	YCL068C	OG0001099	0.8684356405772473	1
GWK60_B01133	YOL149W	DCP1	OG0000888	0.8684356405772473	1
GWK60_B01155	YOL148C	SPT20	OG0000857	0.8684356405772473	1
GWK60_B01177	YOL145C	CTR9	OG0000605	0.36	1
GWK60_B01199	YOL144W	NOP8	OG0001091	0.8684356405772473	1
GWK60_B01221	YOL143C	RIB4	OG0002773	0.8684356405772473	1
GWK60_B01243	YNL330C	RPD3	OG0000632	0.36	1
GWK60_B01265	YOL142W	RRP40	OG0002383	0.8684356405772473	1
GWK60_B01287	YOL141W	PPM2	OG0003600	1.0	1
GWK60_B01309	YOL140W	ARG8	OG0003195	0.8684356405772473	1
GWK60_B01331	YDR142C	PEX7	OG0002332	0.8684356405772473	1
GWK60_B01353	YDR141C	DOP1	OG0001198	0.8684356405772473	1
GWK60_B01375	YDR140W	MTQ2	OG0002162	0.8684356405772473	1
GWK60_B01397	YDR139C	RUB1	OG0003668	0.8684356405772473	1
GWK60_B01419				0.3	1
GWK60_B01441	YDR138W	HPR1	OG0004222	0.8684356405772473	1
GWK60_B01463	YDR137W	RGP1	OG0001528	0.8684356405772473	1
GWK60_B01507	YLR083C	EMP70	OG0000720	0.36	1
GWK60_B01529	YDR108W	TRS85	OG0002720	0.8684356405772473	1
GWK60_B01551	YDR109C	YDR109C	OG0000270	0.39	1
GWK60_B01573				0.8684356405772473	1
GWK60_B01595	YDR110W	FOB1	OG0004223	0.8684356405772473	1
GWK60_B01617	YDR115W	MRX14	OG0003526	0.8684356405772473	1
GWK60_B01639	YDR116C	MRPL1	OG0001381	0.8684356405772473	1
GWK60_B01661	YDR117C	TMA64	OG0001856	0.8684356405772473	1
GWK60_B01683	YDR118W	APC4	OG0004075	0.8684356405772473	1
GWK60_B01705	YDR119W	nan	OG0004591	0.8684356405772473	1
GWK60_B01727	YDR120C	TRM1	OG0003025	1.0	1
GWK60_B01749	YDR121W	DPB4	OG0003157	0.8684356405772473	1
GWK60_B01771	YLR096W	KIN2	OG0000405	0.4143589743589743	1
GWK60_B01793	YDR123C	INO2	OG0004224	0.8684356405772473	1
GWK60_B01815	YDR125C	ECM18	OG0003849	0.26	1
GWK60_B01837	YDR126W	SWF1	OG0001212	0.8684356405772473	1
GWK60_B01859	YDR128W	MTC5	OG0001609	0.3547916666666667	1
GWK60_B01881	YDR129C	SAC6	OG0002923	0.8684356405772473	1
GWK60_B01903	YDR130C	FIN1	OG0004225	0.33	1
GWK60_B01925	YGR224W	AZR1	OG0000076	0.3	1
GWK60_B01947	YGR223C	HSV2	OG0002406	0.35	1
GWK60_B01969	YGR222W	PET54	OG0003657	0.34	1
GWK60_B01991	YGR221C	TOS2	OG0003850	1.0	1
GWK60_B02013	YGR220C	MRPL9	OG0001833	0.8684356405772473	1
GWK60_B02035	YGR218W	CRM1	OG0000482	0.8684356405772473	1
GWK60_B02057	YGR217W	CCH1	OG0002937	0.8684356405772473	1
GWK60_B02079	YGR216C	GPI1	OG0002126	0.8684356405772473	1
GWK60_B02101	YGR215W	RSM27	OG0003270	0.8684356405772473	1
GWK60_B02123	YML113W	DAT1	OG0004893	0.8684356405772473	1
GWK60_B02145	YML114C	TAF8	OG0003121	0.45	1
GWK60_B02167	YML115C	VAN1	OG0003654	0.48	1
GWK60_B02189	YML116W	ATR1	OG0000109	0.3	1
GWK60_B02211	YML117W	NAB6	OG0004226	1.0	1
GWK60_B02233	YML118W	NGL3	OG0000399	0.34	1
GWK60_B02255	YML119W	YML119W	OG0004227	0.8684356405772473	1
GWK60_B02277	YML120C	NDI1	OG0004076	0.36	1
GWK60_B02299	YML121W	GTR1	OG0002358	0.35	1
GWK60_B02321	YML123C	PHO84	OG0000655	0.16	1
GWK60_B02343	YML124C	TUB3	OG0000847	0.8684356405772473	1
GWK60_B02365	YML087C	AIM33	OG0002660	0.8684356405772473	1
GWK60_B02387	YML127W	RSC9	OG0003202	0.8684356405772473	1
GWK60_B02409	YML128C	MSC1	OG0003735	0.27	1
GWK60_B02431	YDR233C	RTN1	OG0000600	0.36	1
GWK60_B02453	YDR232W	HEM1	OG0002013	0.8684356405772473	1
GWK60_B02475	YDR251W	PAM1	OG0000576	0.69	1
GWK60_B02497				1.0	1
GWK60_B02519	YDR254W	CHL4	OG0001767	0.8684356405772473	1
GWK60_B02541	YDR255C	RMD5	OG0002076	1.0	1
GWK60_B02563	YLR153C	ACS2	OG0000208	0.8684356405772473	1
GWK60_B02585	YLR362W	STE11	OG0001249	0.34	1
GWK60_B02607	YLR361C	nan	OG0005358	0.15	1
GWK60_B02629	YLR361C	DCR2	OG0000261	0.8684356405772473	1
GWK60_B02651	YLR360W	VPS38	OG0004228	0.8684356405772473	1
GWK60_B02673	YLR359W	ADE13	OG0001994	0.8684356405772473	1
GWK60_B02695	YLR357W	RSC2	OG0000352	0.84	1
GWK60_B02717	YGR055W	MUP1	OG0000709	0.25	1
GWK60_B02739				0.8684356405772473	1
GWK60_B02761				0.51	1
GWK60_B02783				0.3	1
GWK60_B02805				0.769090909090909	1
GWK60_B02827				0.25	1
GWK60_B02849				0.54	1
GWK60_B02871	YER001W	MNN1	OG0000017	0.22	1
GWK60_B02893	YLR355C	ILV5	OG0002849	0.8684356405772473	1
GWK60_B02915	YLR354C	TAL1	OG0000547	0.8684356405772473	1
GWK60_B02937	YGR041W	BUD9	OG0003450	0.8684356405772473	1
GWK60_B02959	YLR352W	LUG1	OG0001370	0.7090909090909091	1
GWK60_B03003	YKR010C	TOF2	OG0000331	0.34	1
GWK60_B03025	YKR011C	FPT1	OG0004229	0.8684356405772473	1
GWK60_B03047				0.8684356405772473	1
GWK60_B03069	YBR283C	SSH1	OG0002847	0.8684356405772473	1
GWK60_B03091	YBR282W	MRPL27	OG0002346	0.8684356405772473	1
GWK60_B03113	YBR281C	DUG2	OG0002431	0.37	1
GWK60_B03135	YBR280C	SAF1	OG0003500	0.35	1
GWK60_B03157	YBR279W	PAF1	OG0001014	0.8684356405772473	1
GWK60_B03179	YBR278W	DPB3	OG0000449	0.8684356405772473	1
GWK60_B03201	YBR276C	PPS1	OG0002768	0.4	1
GWK60_B03223	YBR275C	RIF1	OG0003723	0.32	1
GWK60_B03245	YLR256W	HAP1	OG0000024	0.29	1
GWK60_B03267	YLR253W	CQD2	OG0001294	0.56	1
GWK60_B03289	YLR251W	SYM1	OG0002844	0.8684356405772473	1
GWK60_B03311	YNL014W	HEF3	OG0001087	0.8684356405772473	1
GWK60_B03333	YLR248W	RCK2	OG0000294	0.29	1
GWK60_B03355	YCR015C	CTO1	OG0002627	0.26	1
GWK60_B03377	YEL055C	POL5	OG0003109	0.8684356405772473	1
GWK60_B03399	YEL056W	HAT2	OG0000897	0.46	1
GWK60_B03421	YEL058W	PCM1	OG0001526	0.8684356405772473	1
GWK60_B03443	YEL059C	nan	OG0003944	0.1	1
GWK60_B03465	YEL060C	PRB1	OG0000100	0.54	1
GWK60_B03487	YEL061C	CIN8	OG0000423	0.8684356405772473	1
GWK60_B03509				0.32	1
GWK60_B03531	YCR004C	YCP4	OG0000027	0.28	1
GWK60_B03553	YJR006W	POL31	OG0000203	0.8684356405772473	1
GWK60_B03597	YGR191W	HIP1	OG0000011	0.8684356405772473	1
GWK60_B03619	YJR007W	SUI2	OG0001954	0.8684356405772473	1
GWK60_B03641	YJR008W	MHO1	OG0002496	0.3	1
GWK60_B03663	YJR010W	MET3	OG0001096	0.18	1
GWK60_B03685	YJR010C	nan	OG0004077	0.29	1
GWK60_B03707	YJR011C	CAL4	OG0004592	0.4	1
GWK60_B03729				0.33	1
GWK60_B03751	YJR012C	YJR012C	OG0003641	0.8684356405772473	1
GWK60_B03773	YJR013W	GPI14	OG0002340	0.8684356405772473	1
GWK60_B03795	YJR014W	TMA22	OG0002917	0.38	1
GWK60_B03817				0.4	1
GWK60_B03839	YJR015W	YJR015W	OG0000065	0.21	1
GWK60_B03861	YJR016C	ILV3	OG0002356	0.8684356405772473	1
GWK60_B03883	YGR202C	PCT1	OG0001934	0.33	1
GWK60_B03905	YJR017C	ESS1	OG0002160	0.8684356405772473	1
GWK60_B03927	YJR019C	TES1	OG0000096	0.8684356405772473	1
GWK60_B03971	YPR109W	GLD1	OG0004230	0.17	1
GWK60_B03993	YPR110C	RPC40	OG0002716	0.8684356405772473	1
GWK60_B04015	YPR111W	DBF20	OG0000383	0.8684356405772473	1
GWK60_B04037	YPR112C	MRD1	OG0003060	0.57	1
GWK60_B04059	YPR114W	YPR114W	OG0004231	0.2	1
GWK60_B04081	YPR115W	RGC1	OG0003451	0.41	1
GWK60_B04103				0.17	1
GWK60_B04125	YBR031W	RPL4A	OG0000855	0.32	1
GWK60_B04147	YBR030W	RKM3	OG0003485	0.29	1
GWK60_B04169	YBR028C	YPK3	OG0000917	0.36	1
GWK60_B04191	YBR026C	ETR1	OG0000766	0.38	1
GWK60_B04213	YBR025C	OLA1	OG0000191	0.36	1
GWK60_B04235	YBR024W	SCO2	OG0000588	0.37	1
GWK60_B04257	YBR023C	CHS3	OG0000502	0.32	1
GWK60_B04279	YBR022W	POA1	OG0003598	0.16	1
GWK60_B04301	YBR021W	FUR4	OG0000129	0.86	1
GWK60_B04323	YNL101W	AVT4	OG0000130	0.25	1
GWK60_B04345	YOR104W	PIN2	OG0003514	0.13	1
GWK60_B04367	YOR103C	OST2	OG0003085	0.8684356405772473	1
GWK60_B04389	YNL098C	RAS2	OG0000084	0.8684356405772473	1
GWK60_B04411	YOR100C	CRC1	OG0003334	0.24	1
GWK60_B04433	YOR099W	KTR1	OG0000033	0.2	1
GWK60_B04455				0.14	1
GWK60_B04477	YNL107W	YAF9	OG0002571	1.0	1
GWK60_B04499	YOR109W	INP53	OG0000097	0.41	1
GWK60_B04521	YCL001W	nan	OG0000362	0.13	1
GWK60_B04543	YCL001W	RER1	OG0003778	0.2	1
GWK60_B04565	YCL002C	YCL002C	OG0002272	0.16	1
GWK60_B04587	YCL004W	PGS1	OG0002601	0.27	1
GWK60_B04609	YCL005W	LDB16	OG0004232	0.15	1
GWK60_B04631	YCL010C	SGF29	OG0003219	0.14	1
GWK60_B04653	YCL011C	GBP2	OG0000365	0.33	1
GWK60_B04675	YCL012C	YCL012C	OG0003916	0.8684356405772473	1
GWK60_B04697	YCL014W	BUD3	OG0001832	0.34	1
GWK60_B04719	YCL016C	DCC1	OG0002114	0.5	1
GWK60_B04741	YLR176C	RFX1	OG0000444	0.36	1
GWK60_B04763	YLR174W	IDP2	OG0000106	0.24	1
GWK60_B04785	YLR173W	TAG1	OG0004233	0.31	1
GWK60_B04807	YLR172C	DPH5	OG0000753	0.8684356405772473	1
GWK60_B04829	YLR170C	APS1	OG0003061	0.15	1
GWK60_B04895	YLR247C	IRC20	OG0003449	0.4	1
GWK60_B04917				0.39428676470588236	1
GWK60_C00011				0.8684356405772473	1
GWK60_C00033	YJR150C	DAN1	OG0000002	0.8684356405772473	1
GWK60_C00055				0.8684356405772473	1
GWK60_C00077				0.38	1
GWK60_C00099	YDR533C	HSP31	OG0000341	0.8684356405772473	1
GWK60_C00121	YJL168C	SET2	OG0002822	0.38	1
GWK60_C00143	YJL172W	CPS1	OG0000090	0.33	1
