standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood,sample,feature_id,condition,background,pool
GWK60_A00781,GWK60_A00781,ORF,CP048230.1,111705,113963,C,2259,3,302,0.00132802124833997,0.04572353859416137,0.00939253443787985,1263,0.5590969455511288,0.5590969449123305,-16.298193627072617,0,0,0,0,0,753,34.42982456140351,yH298-parent-pool1,GWK60_A00781,parent,yH298,1
GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,6,1694,0.00140154169586545,0.04855013717703853,0.02381472878402676,1836,0.4288717589348283,0.4288717589348283,-13.81429805252186,3,0,0,0,0,713.5,34.64052287581699,yH298-parent-pool1,GWK60_A00803,parent,yH298,1
GWK60_A00825,GWK60_A00825,ORF,CP048230.1,118583,119263,C,681,0,0,0,0,0,681,1,0.9919179913746744,-24.541367610545567,2,0,0,0,0,9999,33.751773049645394,yH298-parent-pool1,GWK60_A00825,parent,yH298,1
GWK60_A00847,PEX23B,ORF,CP048230.1,119483,120694,W,1212,10,7177,0.00825082508250825,0.29227922792279226,0.3438832817708,448,0.3696369636963696,0.36962208044727896,-11.73200140272949,1,0,0,0,0,121.2,35.42424242424242,yH298-parent-pool1,GWK60_A00847,parent,yH298,1
GWK60_A00869,GWK60_A00869,ORF,CP048230.1,121621,121857,C,237,3,354,0.01265822784810126,0.449271192942079,0.08690819797895954,111,0.4683544303797468,0.27701243293687167,-16.06969239615352,1,0,0,0,0,79,35.49242424242424,yH298-parent-pool1,GWK60_A00869,parent,yH298,1
GWK60_A00891,GWK60_A00891,ORF,CP048230.1,122845,123504,W,660,50,51275,0.07575757575757576,2.251359751359751,3.617016452790133,91,0.13787878787878788,0.13650664550016925,-8.895371508143299,10,0,0,0,0,13.2,29.71794871794872,yH298-parent-pool1,GWK60_A00891,parent,yH298,1
GWK60_A00913,GWK60_A00913,ORF,CP048230.1,123980,125215,W,1236,2,14,0.00161812297734627,0.0479545265953033,5.258932176636e-4,1045,0.8454692556634305,0.8454424767327311,-20.634477014937048,1,0,0,0,0,618,29.635897435897437,yH298-parent-pool1,GWK60_A00913,parent,yH298,1
GWK60_A00935,GWK60_A00935,ORF,CP048230.1,126050,127501,C,1452,10,3412,0.00688705234159779,0.2104810996563574,0.11365354390659074,349,0.2403581267217631,0.24035724873026448,-12.804542911446704,5,0,0,0,0,145.2,30.561855670103093,yH298-parent-pool1,GWK60_A00935,parent,yH298,1
GWK60_A00957,GWK60_A00957,ORF,CP048230.1,128085,130010,W,1926,5,2699,0.00259605399792315,0.0835770445249751,0.07174398724860638,861,0.4470404984423676,0.44704048417236353,-13.142623918607374,4,0,0,0,0,385.2,32.19387755102041,yH298-parent-pool1,GWK60_A00957,parent,yH298,1
GWK60_A00979,GWK60_A00979,ORF,CP048230.1,130228,131835,C,1608,7,3839,0.00435323383084577,0.12926793026020342,0.11396812687968567,876,0.5447761194029851,0.5447757012343809,-12.63447701493705,4,0,0,0,0,229.71428571428572,29.694690265486727,yH298-parent-pool1,GWK60_A00979,parent,yH298,1
GWK60_A01001,GWK60_A01001,ORF,CP048230.1,132712,132921,W,210,2,2792,0.00952380952380952,0.2875869448903157,0.59693359029281845,115,0.5476190476190477,0.2874886026670386,-13.093767752265617,0,0,0,0,0,105,30.196629213483146,yH298-parent-pool1,GWK60_A01001,parent,yH298,1
GWK60_A01023,GWK60_A01023,ORF,CP048230.1,133262,135667,W,2406,11,3122,0.00457190357439734,0.1591491357077392,0.07856461908830985,726,0.30174563591022446,0.3017456358309552,-12.932650756524994,1,0,0,0,0,218.72727272727272,34.81025641025641,yH298-parent-pool1,GWK60_A01023,parent,yH298,1
GWK60_A01045,GWK60_A01045,ORF,CP048230.1,136034,137863,W,1830,3,156,0.00163934426229508,0.05050214148574804,0.00473519104379041,883,0.4825136612021858,0.48251362097593814,-17.24674686165394,1,0,0,0,0,610,30.806306306306308,yH298-parent-pool1,GWK60_A01045,parent,yH298,1
GWK60_A01067,GWK60_A01067,ORF,CP048230.1,138245,140797,W,2553,2,600,7.8339208773991e-4,0.02712405265257279,0.01762299489840213,2275,0.891108499804152,0.8911084997503274,-15.31014642983438,0,0,0,0,0,1276.5,34.62385321100918,yH298-parent-pool1,GWK60_A01067,parent,yH298,1
GWK60_A01089,GWK60_A01089,ORF,CP048230.1,140956,141267,W,312,14,9163,0.04487179487179487,1.5767787017787018,2.2496280337952648,131,0.4198717948717949,0.31657859568850066,-11.379605867240892,12,0,0,0,0,22.285714285714285,35.13963963963964,yH298-parent-pool1,GWK60_A01089,parent,yH298,1
GWK60_A01111,DIP5,ORF,CP048230.1,142280,144121,W,1842,26,29800,0.01411509229098805,0.5613662851507635,1.411076674998576,230,0.1248642779587405,0.12486426872616674,-9.678294488535691,5,0,0,0,0,70.84615384615384,39.77064220183486,yH298-parent-pool1,GWK60_A01111,parent,yH298,1
GWK60_A01133,GWK60_A01133,ORF,CP048230.1,147012,147893,W,882,9,3293,0.01020408163265306,0.5094619666048237,0.5054488509179945,525,0.5952380952380952,0.5945889700193684,-12.855742770819212,0,0,0,0,0,98,49.92727272727273,yH298-parent-pool1,GWK60_A01133,parent,yH298,1
GWK60_A01155,GIT1,ORF,CP048230.1,148737,150332,C,1596,9,2989,0.0056390977443609,0.29707792207792205,0.2689652679894467,728,0.45614035087719296,0.4561399561044592,-12.9954378414601,1,0,0,0,0,177.33333333333334,52.68181818181818,yH298-parent-pool1,GWK60_A01155,parent,yH298,1
GWK60_A01177,EPA10,ORF,CP048230.1,152581,156771,W,4191,10,5787,0.00238606537819136,0.1777084513011179,0.3400336571398383,1314,0.31352899069434503,0.31352899069434503,-12.042518404013842,0,0,0,0,0,419.1,74.4776119402985,yH298-parent-pool1,GWK60_A01177,parent,yH298,1
GWK60_A01199,PGD1,ORF,CP048230.1,157478,158917,W,1440,1,1668,6.9444444444444e-4,0.07103978978978978,0.3785108923997813,1212,0.8416666666666667,0.8416632002021147,-13.836599371182968,0,0,0,0,0,1440,102.29729729729728,yH298-parent-pool1,GWK60_A01199,parent,yH298,1
GWK60_A01221,EPA9,ORF,CP048230.1,161505,165887,W,4383,14,3550,0.00319415925165411,0.38945927446954143,0.3111817295446482,2241,0.5112936344969199,0.5112936344969199,-12.747357965524596,0,0,0,0,0,313.07142857142856,121.92857142857144,yH298-parent-pool1,GWK60_A01221,parent,yH298,1
GWK60_A01243,GWK60_A01243,ORF,CP048230.1,166594,168033,W,1440,1,166,6.9444444444444e-4,0.07380514705882353,0.04120239861523245,1375,0.9548611111111112,0.9548571784471186,-17.157663318071513,0,0,0,0,0,1440,106.27941176470588,yH298-parent-pool1,GWK60_A01243,parent,yH298,1
GWK60_A01265,TRP5,ORF,CP048230.1,168514,170637,W,2124,13,2477,0.00612052730696798,0.5744043708667279,0.3920349352671342,655,0.3083804143126177,0.30838041295348784,-13.266407138404965,0,0,0,0,0,163.3846153846154,93.84883720930232,yH298-parent-pool1,GWK60_A01265,parent,yH298,1
GWK60_A01287,CWH41,ORF,CP048230.1,170951,173395,W,2445,0,0,0,0,0,2445,1,0.9999999998221356,-24.541367610545567,1,0,0,0,0,9999,76.0204081632653,yH298-parent-pool1,GWK60_A01287,parent,yH298,1
GWK60_A01309,GWK60_A01309,ORF,CP048230.1,174356,176077,W,1722,4,1079,0.00232288037166085,0.13951601355543888,0.1062523721281037,754,0.437862950058072,0.4378628425660884,-14.464552013494735,0,0,0,0,0,430.5,60.06164383561644,yH298-parent-pool1,GWK60_A01309,parent,yH298,1
GWK60_A01353,GWK60_A01353,ORF,CP048230.1,177006,177486,C,318,0,0,0,0,0,318,1,0.7649478037637647,-24.541367610545567,0,0,0,0,0,9999,55.226027397260275,yH298-parent-pool1,GWK60_A01353,parent,yH298,1
GWK60_A01375,GWK60_A01375,ORF,CP048230.1,178790,179257,W,468,1,282,0.00213675213675213,0.12327656123276562,0.09885563258472056,418,0.8931623931623932,0.835853631757772,-16.396709367713683,0,0,0,0,0,468,57.693430656934304,yH298-parent-pool1,GWK60_A01375,parent,yH298,1
GWK60_A01397,GWK60_A01397,ORF,CP048230.1,179925,180182,W,258,2,372,0.00775193798449612,0.4472358965653822,0.23654915347833175,102,0.3953488372093023,0.25344525366725323,-15.998335790290328,0,0,0,0,0,129,57.693430656934304,yH298-parent-pool1,GWK60_A01397,parent,yH298,1
GWK60_A01419,GWK60_A01419,ORF,CP048230.1,180310,181059,C,648,8,3445,0.01234567901234567,0.7020970742431929,0.8323757930080963,285,0.4398148148148148,0.43488607129363394,-12.79066062432062,0,0,0,0,0,93.75,56.86986301369863,yH298-parent-pool1,GWK60_A01419,parent,yH298,1
GWK60_A01441,MIG1,ORF,CP048230.1,182472,183746,W,1275,36,24905,0.02823529411764706,1.4479058823529412,2.8250597645946485,385,0.30196078431372547,0.30195430878028073,-9.937161893220802,2,0,0,0,0,35.416666666666664,51.28,yH298-parent-pool1,GWK60_A01441,parent,yH298,1
GWK60_A01463,GWK60_A01463,ORF,CP048230.1,184908,185264,W,357,4,342,0.01120448179271708,0.5793078521731274,0.13793663643904505,221,0.6190476190476191,0.51243747178379,-16.119302844372754,0,0,0,0,0,89.25,51.70322580645161,yH298-parent-pool1,GWK60_A01463,parent,yH298,1
GWK60_A01485,GWK60_A01485,ORF,CP048230.1,185977,188061,C,2085,3,308,0.0014388489208633,0.07685197296708088,0.02261058776029646,1405,0.6738609112709832,0.6738609068844718,-16.269904582641193,0,0,0,0,0,695,53.412121212121214,yH298-parent-pool1,GWK60_A01485,parent,yH298,1
GWK60_A01507,GWK60_A01507,ORF,CP048230.1,188383,190308,C,1926,10,7315,0.00519210799584631,0.2888813822267262,0.6097016957348549,901,0.4678089304257528,0.46780891549279857,-11.70452825079685,6,0,0,0,0,192.6,55.63855421686747,yH298-parent-pool1,GWK60_A01507,parent,yH298,1
GWK60_A01529,GWK60_A01529,ORF,CP048230.1,190708,191343,W,636,2,816,0.00314465408805031,0.18228914691178844,0.20724755055358784,604,0.949685534591195,0.9377031996064142,-14.867175342399882,0,0,0,0,0,318,57.967948717948715,yH298-parent-pool1,GWK60_A01529,parent,yH298,1
GWK60_A01551,GWK60_A01551,ORF,CP048230.1,192070,193479,W,1410,0,0,0,0,0,1410,1,0.9999944405176664,-24.541367610545567,1,0,0,0,0,9999,57.85034013605442,yH298-parent-pool1,GWK60_A01551,parent,yH298,1
GWK60_A01573,GWK60_A01573,ORF,CP048230.1,193738,195555,C,1818,1,245,5.5005500550055e-4,0.03485705713428486,0.02664040281314578,1454,0.7997799779977998,0.799779902820665,-16.598853105206327,0,0,0,0,0,1818,63.37012987012987,yH298-parent-pool1,GWK60_A01573,parent,yH298,1
GWK60_A01595,HXT4,ORF,CP048230.1,196148,197854,C,1707,14,4622,0.00820152314001171,0.6588805453480322,0.7455278901160539,563,0.3298183948447569,0.3298183007735085,-12.366753963309623,0,0,0,0,0,121.92857142857144,80.33636363636364,yH298-parent-pool1,GWK60_A01595,parent,yH298,1
GWK60_A01617,HXT1,ORF,CP048230.1,201317,203008,C,1692,7,2886,0.00413711583924349,0.35368773946360155,0.5563467526202692,479,0.283096926713948,0.2830968329013116,-13.046012218309585,0,0,0,0,0,241.71428571428572,85.49137931034483,yH298-parent-pool1,GWK60_A01617,parent,yH298,1
GWK60_A01639,HXT5,ORF,CP048230.1,205137,206903,C,1767,11,1656,0.00622524052065648,0.7139219015280136,0.4390306527151801,468,0.26485568760611206,0.26485564614750523,-13.847009723324115,0,0,0,0,0,160.63636363636363,114.6818181818182,yH298-parent-pool1,GWK60_A01639,parent,yH298,1
GWK60_A01661,GWK60_A01661,ORF,CP048230.1,209025,211829,C,2805,7,1697,0.00249554367201426,0.30127360562143174,0.2859658263392021,1333,0.475222816399287,0.47522281639697744,-13.811746866992529,0,0,0,0,0,400.7142857142857,120.72463768115942,yH298-parent-pool1,GWK60_A01661,parent,yH298,1
GWK60_A01683,GWK60_A01683,ORF,CP048230.1,212460,214844,C,2385,2,123,8.3857442348008e-4,0.09737139171101436,0.02346245559763592,1298,0.5442348008385745,0.5442348006621934,-17.58717130015869,0,0,0,0,0,1192.5,116.1153846153846,yH298-parent-pool1,GWK60_A01683,parent,yH298,1
GWK60_A01705,GWK60_A01705,ORF,CP048230.1,215685,215951,W,267,5,1391,0.01872659176029962,3.3282260810350697,5.248666556652162,126,0.47191011235955055,0.3121700301856629,-14.098424114696838,1,0,0,0,0,53.4,177.72727272727272,yH298-parent-pool1,GWK60_A01705,parent,yH298,1
GWK60_A01727,GWK60_A01727,ORF,CP048230.1,216271,227502,W,11232,0,0,0,0,0,11232,1,1,-24.541367610545567,0,0,0,0,0,9999,95,yH298-parent-pool1,GWK60_A01727,parent,yH298,1
GWK60_A01771,GWK60_A01771,ORF,CP048230.1,228106,229326,W,1221,0,0,0,0,0,1221,1,0.9999632008863908,-24.541367610545567,0,0,0,0,0,9999,64.23728813559322,yH298-parent-pool1,GWK60_A01771,parent,yH298,1
GWK60_A01793,GWK60_A01793,ORF,CP048230.1,229436,231463,C,2028,3,309,0.0014792899408284,0.09979336902413824,0.04755170888512507,540,0.26627218934911245,0.2662721862841675,-16.26524320527133,0,0,0,0,0,676,67.46031746031746,yH298-parent-pool1,GWK60_A01793,parent,yH298,1
GWK60_A01815,GWK60_A01815,ORF,CP048230.1,231832,232212,C,381,1,312,0.00262467191601049,0.18507913783504337,0.2762903875815001,316,0.8293963254593176,0.7127515807559412,-16.25134876361295,0,0,0,0,0,381,70.51515151515152,yH298-parent-pool1,GWK60_A01815,parent,yH298,1
GWK60_A01837,GWK60_A01837,ORF,CP048230.1,232956,235028,C,2073,2,32,9.647853352629e-4,0.07197582361453989,0.00519984701810221,1808,0.8721659430776653,0.8721659366764346,-19.496973491187113,1,0,0,0,0,1036.5,74.6029411764706,yH298-parent-pool1,GWK60_A01837,parent,yH298,1
GWK60_A01859,GWK60_A01859,ORF,CP048230.1,236896,239226,W,2331,1,13,4.2900042900042e-4,0.03652075080646509,0.00212777321211056,2148,0.9214929214929216,0.9214929209804418,-20.734012688487965,2,0,0,0,0,2331,85.12987012987013,yH298-parent-pool1,GWK60_A01859,parent,yH298,1
GWK60_A01903,GWK60_A01903,ORF,CP048230.1,239787,241808,C,2022,0,0,0,0,0,2022,1,0.999999987777655,-24.541367610545567,0,0,0,0,0,9999,89.71621621621621,yH298-parent-pool1,GWK60_A01903,parent,yH298,1
GWK60_A01925,GWK60_A01925,ORF,CP048230.1,242419,244065,W,1647,0,0,0,0,0,1647,1,0.9999994802929344,-24.541367610545567,0,0,0,0,0,9999,94.78048780487804,yH298-parent-pool1,GWK60_A01925,parent,yH298,1
GWK60_A01947,GWK60_A01947,ORF,CP048230.1,244279,245421,C,1143,1,76,8.7489063867016e-4,0.07090741015863583,0.02727546656343266,747,0.6535433070866141,0.6534908453643825,-18.274581069850665,0,0,0,0,0,1143,81.04716981132076,yH298-parent-pool1,GWK60_A01947,parent,yH298,1
GWK60_A01969,GWK60_A01969,ORF,CP048230.1,246399,247580,W,1182,2,2077,0.00169204737732656,0.18104906937394247,1.1346478952514585,611,0.5169204737732657,0.5168923788198332,-13.520387671641355,0,0,0,0,0,591,107,yH298-parent-pool1,GWK60_A01969,parent,yH298,1
GWK60_A02013,GWK60_A02013,ORF,CP048230.1,248086,249903,C,1818,0,0,0,0,0,1818,1,0.9999999060027298,-24.541367610545567,0,0,0,0,0,9999,116.53658536585364,yH298-parent-pool1,GWK60_A02013,parent,yH298,1
GWK60_A02035,HXT6/7,ORF,CP048230.1,250700,252358,C,1659,5,1367,0.00301386377335744,0.3632816217759589,0.38290372382059007,608,0.3664858348402652,0.3664856659127079,-14.12351509565967,0,0,0,0,0,331.8,120.53684210526316,yH298-parent-pool1,GWK60_A02035,parent,yH298,1
GWK60_A02057,HXT4/6/7,ORF,CP048230.1,256975,258624,C,1650,7,2500,0.00424242424242424,0.5137694704049844,0.7456356892382869,992,0.6012121212121212,0.6012118179923461,-13.253078268364597,0,0,0,0,0,235.71428571428572,121.10280373831776,yH298-parent-pool1,GWK60_A02057,parent,yH298,1
GWK60_A02079,GWK60_A02079,ORF,CP048230.1,263580,264401,W,822,23,10590,0.02798053527980535,2.8691619559848527,4.86370216957543,277,0.33698296836982966,0.3363139574384956,-11.170816416271226,0,0,0,0,0,35.73913043478261,102.54135338345864,yH298-parent-pool1,GWK60_A02079,parent,yH298,1
GWK60_A02101,GWK60_A02101,ORF,CP048230.1,265990,266844,W,855,3,277,0.00350877192982456,0.39219544187571737,0.11698095685530084,555,0.6491228070175439,0.6481958120759362,-16.422426537822062,0,0,0,0,0,285,111.77570093457943,yH298-parent-pool1,GWK60_A02101,parent,yH298,1
GWK60_A02123,HXT3,ORF,CP048230.1,267343,269013,C,1671,8,3735,0.00478755236385397,0.4952940536423481,0.7115487647524291,916,0.5481747456612807,0.5481745215586176,-12.674088870835904,2,0,0,0,0,208.875,103.45454545454544,yH298-parent-pool1,GWK60_A02123,parent,yH298,1
GWK60_A02145,GWK60_A02145,ORF,CP048230.1,270009,270275,W,267,1,9,0.00374531835205992,0.3702103140305387,0.00866140560233419,231,0.8651685393258427,0.5723117220070487,-21.219439515658205,0,0,0,0,0,267,98.84615384615384,yH298-parent-pool1,GWK60_A02145,parent,yH298,1
GWK60_A02167,GWK60_A02167,ORF,CP048230.1,271399,272730,C,1332,2,265,0.0015015015015015,0.14967164967164967,0.0496510280330128,737,0.5533033033033034,0.5532965929643042,-16.486085175044376,1,0,0,0,0,666,99.68131868131869,yH298-parent-pool1,GWK60_A02167,parent,yH298,1
