# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	42544	43215	-			QNG12113.1	uncharacterized protein			GWK60_A00143	672		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	42544	43215	-	QNG12113.1			uncharacterized protein			GWK60_A00143	672	223	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	43698	44498	+							GWK60_A00165	801		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	43698	44498	+			QNG12114.1	uncharacterized protein			GWK60_A00165	801		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	43698	44498	+	QNG12114.1			uncharacterized protein			GWK60_A00165	801	266	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	44808	45404	-							GWK60_A00187	597		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	44808	45404	-			QNG12115.1	uncharacterized protein			GWK60_A00187	597		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	44808	45404	-	QNG12115.1			uncharacterized protein			GWK60_A00187	597	198	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	45607	47136	+							GWK60_A00209	1530		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	45607	47136	+			QNG12116.1	uncharacterized protein			GWK60_A00209	1530		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	45607	47136	+	QNG12116.1			uncharacterized protein			GWK60_A00209	1530	509	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	47685	48254	+							GWK60_A00231	570		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	47685	48254	+			QNG12117.1	uncharacterized protein			GWK60_A00231	570		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	47685	48254	+	QNG12117.1			uncharacterized protein			GWK60_A00231	570	189	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	48624	50978	-							GWK60_A00253	2355		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	48624	50978	-			QNG12118.1	uncharacterized protein			GWK60_A00253	2355		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	48624	50978	-	QNG12118.1			uncharacterized protein			GWK60_A00253	2355	784	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	51806	55015	-							GWK60_A00275	3210		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	51806	55015	-			QNG12119.1	uncharacterized protein			GWK60_A00275	3210		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	51806	55015	-	QNG12119.1			uncharacterized protein			GWK60_A00275	3210	1069	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	56199	56963	+					SCL1		GWK60_A00297	765		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	56199	56963	+			QNG12120.1	SCL1	SCL1		GWK60_A00297	765		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	56199	56963	+	QNG12120.1			SCL1	SCL1		GWK60_A00297	765	254	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	57279	58673	-					ERG4		GWK60_A00319	1395		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	57279	58673	-			QNG12121.1	ERG4	ERG4		GWK60_A00319	1395		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	57279	58673	-	QNG12121.1			ERG4	ERG4		GWK60_A00319	1395	464	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	62211	65534	+					PDR1		GWK60_A00341	3324		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	62211	65534	+			QNG12122.1	PDR1	PDR1		GWK60_A00341	3324		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	62211	65534	+	QNG12122.1			PDR1	PDR1		GWK60_A00341	3324	1107	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	65791	68151	-							GWK60_A00363	2361		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	65791	68151	-			QNG12123.1	uncharacterized protein			GWK60_A00363	2361		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	65791	68151	-	QNG12123.1			uncharacterized protein			GWK60_A00363	2361	786	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	69666	72374	-					PMA1		GWK60_A00385	2709		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	69666	72374	-			QNG12124.1	PMA1	PMA1		GWK60_A00385	2709		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	69666	72374	-	QNG12124.1			PMA1	PMA1		GWK60_A00385	2709	902	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	73476	76844	+							GWK60_A00407	3369		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	73476	76844	+			QNG12125.1	uncharacterized protein			GWK60_A00407	3369		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	73476	76844	+	QNG12125.1			uncharacterized protein			GWK60_A00407	3369	1122	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	77062	77871	-							GWK60_A00429	810		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	77062	77871	-			QNG12126.1	uncharacterized protein			GWK60_A00429	810		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	77062	77871	-	QNG12126.1			uncharacterized protein			GWK60_A00429	810	269	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	78356	79594	-							GWK60_A00451	1239		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	78356	79594	-			QNG12127.1	uncharacterized protein			GWK60_A00451	1239		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	78356	79594	-	QNG12127.1			uncharacterized protein			GWK60_A00451	1239	412	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	79931	81871	+							GWK60_A00473	1941		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	79931	81871	+			QNG12128.1	uncharacterized protein			GWK60_A00473	1941		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	79931	81871	+	QNG12128.1			uncharacterized protein			GWK60_A00473	1941	646	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	81926	83848	-							GWK60_A00495	1923		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	81926	83848	-			QNG12129.1	uncharacterized protein			GWK60_A00495	1923		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	81926	83848	-	QNG12129.1			uncharacterized protein			GWK60_A00495	1923	640	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	84469	85122	+							GWK60_A00517	654		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	84469	85122	+			QNG12130.1	uncharacterized protein			GWK60_A00517	654		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	84469	85122	+	QNG12130.1			uncharacterized protein			GWK60_A00517	654	217	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	85576	85959	+							GWK60_A00539	384		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	85576	85959	+			QNG12131.1	uncharacterized protein			GWK60_A00539	384		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	85576	85959	+	QNG12131.1			uncharacterized protein			GWK60_A00539	384	127	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	86266	86374	-							GWK60_A00561	109		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	86266	86374	-				tRNA-Pro			GWK60_A00561	72		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	87402	88226	+							GWK60_A00583	825		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	87402	88226	+			QNG12132.1	uncharacterized protein			GWK60_A00583	825		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	87402	88226	+	QNG12132.1			uncharacterized protein			GWK60_A00583	825	274	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	89315	91915	+							GWK60_A00605	2601		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	89315	91915	+			QNG12133.1	uncharacterized protein			GWK60_A00605	2601		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	89315	91915	+	QNG12133.1			uncharacterized protein			GWK60_A00605	2601	866	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	94544	94834	+							GWK60_A00627	291		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	94544	94834	+			QNG12134.1	uncharacterized protein			GWK60_A00627	291		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	94544	94834	+	QNG12134.1			uncharacterized protein			GWK60_A00627	291	96	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	95979	97628	+							GWK60_A00649	1650		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	95979	97628	+			QNG12135.1	uncharacterized protein			GWK60_A00649	1650		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	95979	97628	+	QNG12135.1			uncharacterized protein			GWK60_A00649	1650	549	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	98790	102578	+							GWK60_A00671	3789		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	98790	102578	+			QNG12136.1	uncharacterized protein			GWK60_A00671	3789		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	98790	102578	+	QNG12136.1			uncharacterized protein			GWK60_A00671	3789	1262	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	102637	106125	-							GWK60_A00693	3489		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	102637	106125	-			QNG12137.1	uncharacterized protein			GWK60_A00693	3489		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	102637	106125	-	QNG12137.1			uncharacterized protein			GWK60_A00693	3489	1162	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	106542	107636	+							GWK60_A00715	1095		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	106542	107636	+			QNG12138.1	uncharacterized protein			GWK60_A00715	1095		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	106542	107636	+	QNG12138.1			uncharacterized protein			GWK60_A00715	1095	364	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	107762	108751	-							GWK60_A00737	990		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	107762	108751	-			QNG12139.1	uncharacterized protein			GWK60_A00737	990		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	107762	108751	-	QNG12139.1			uncharacterized protein			GWK60_A00737	990	329	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	109052	111607	+					EST2		GWK60_A00759	2556		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	109052	111607	+			QNG12140.1	EST2	EST2		GWK60_A00759	2556		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	109052	111607	+	QNG12140.1			EST2	EST2		GWK60_A00759	2556	851	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	111705	113963	-							GWK60_A00781	2259		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	111705	113963	-			QNG12141.1	uncharacterized protein			GWK60_A00781	2259		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	111705	113963	-	QNG12141.1			uncharacterized protein			GWK60_A00781	2259	752	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	114196	118476	+							GWK60_A00803	4281		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	114196	118476	+			QNG12142.1	uncharacterized protein			GWK60_A00803	4281		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	114196	118476	+	QNG12142.1			uncharacterized protein			GWK60_A00803	4281	1426	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	118583	119263	-							GWK60_A00825	681		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	118583	119263	-			QNG12143.1	uncharacterized protein			GWK60_A00825	681		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	118583	119263	-	QNG12143.1			uncharacterized protein			GWK60_A00825	681	226	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	119483	120694	+					PEX23B		GWK60_A00847	1212		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	119483	120694	+			QNG12144.1	PEX23B	PEX23B		GWK60_A00847	1212		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	119483	120694	+	QNG12144.1			PEX23B	PEX23B		GWK60_A00847	1212	403	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	121621	121857	-							GWK60_A00869	237		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	121621	121857	-			QNG12145.1	uncharacterized protein			GWK60_A00869	237		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	121621	121857	-	QNG12145.1			uncharacterized protein			GWK60_A00869	237	78	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	122845	123504	+							GWK60_A00891	660		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	122845	123504	+			QNG12146.1	uncharacterized protein			GWK60_A00891	660		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	122845	123504	+	QNG12146.1			uncharacterized protein			GWK60_A00891	660	219	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	123980	125215	+							GWK60_A00913	1236		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	123980	125215	+			QNG12147.1	uncharacterized protein			GWK60_A00913	1236		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	123980	125215	+	QNG12147.1			uncharacterized protein			GWK60_A00913	1236	411	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	126050	127501	-							GWK60_A00935	1452		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	126050	127501	-			QNG12148.1	uncharacterized protein			GWK60_A00935	1452		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	126050	127501	-	QNG12148.1			uncharacterized protein			GWK60_A00935	1452	483	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	128085	130010	+							GWK60_A00957	1926		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	128085	130010	+			QNG12149.1	uncharacterized protein			GWK60_A00957	1926		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	128085	130010	+	QNG12149.1			uncharacterized protein			GWK60_A00957	1926	641	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	130228	131835	-							GWK60_A00979	1608		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	130228	131835	-			QNG12150.1	uncharacterized protein			GWK60_A00979	1608		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	130228	131835	-	QNG12150.1			uncharacterized protein			GWK60_A00979	1608	535	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	132712	132921	+							GWK60_A01001	210		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	132712	132921	+			QNG12151.1	uncharacterized protein			GWK60_A01001	210		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	132712	132921	+	QNG12151.1			uncharacterized protein			GWK60_A01001	210	69	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	133262	135667	+							GWK60_A01023	2406		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	133262	135667	+			QNG12152.1	uncharacterized protein			GWK60_A01023	2406		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	133262	135667	+	QNG12152.1			uncharacterized protein			GWK60_A01023	2406	801	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	136034	137863	+							GWK60_A01045	1830		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	136034	137863	+			QNG12153.1	uncharacterized protein			GWK60_A01045	1830		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	136034	137863	+	QNG12153.1			uncharacterized protein			GWK60_A01045	1830	609	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	138245	140797	+							GWK60_A01067	2553		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	138245	140797	+			QNG12154.1	uncharacterized protein			GWK60_A01067	2553		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	138245	140797	+	QNG12154.1			uncharacterized protein			GWK60_A01067	2553	850	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	140956	141267	+							GWK60_A01089	312		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	140956	141267	+			QNG12155.1	uncharacterized protein			GWK60_A01089	312		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	140956	141267	+	QNG12155.1			uncharacterized protein			GWK60_A01089	312	103	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	142280	144121	+					DIP5		GWK60_A01111	1842		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	142280	144121	+			QNG12156.1	DIP5	DIP5		GWK60_A01111	1842		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	142280	144121	+	QNG12156.1			DIP5	DIP5		GWK60_A01111	1842	613	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	147012	147893	+							GWK60_A01133	882		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	147012	147893	+			QNG12157.1	uncharacterized protein			GWK60_A01133	882		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	147012	147893	+	QNG12157.1			uncharacterized protein			GWK60_A01133	882	293	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	148737	150332	-					GIT1		GWK60_A01155	1596		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	148737	150332	-			QNG12158.1	GIT1	GIT1		GWK60_A01155	1596		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	148737	150332	-	QNG12158.1			GIT1	GIT1		GWK60_A01155	1596	531	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	152581	156771	+					EPA10		GWK60_A01177	4191		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	152581	156771	+			QNG12159.1	EPA10	EPA10		GWK60_A01177	4191		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	152581	156771	+	QNG12159.1			EPA10	EPA10		GWK60_A01177	4191	1396	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	157478	158917	+					PGD1		GWK60_A01199	1440		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	157478	158917	+			QNG12160.1	PGD1	PGD1		GWK60_A01199	1440		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	157478	158917	+	QNG12160.1			PGD1	PGD1		GWK60_A01199	1440	479	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	161505	165887	+					EPA9		GWK60_A01221	4383		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	161505	165887	+			QNG12161.1	EPA9	EPA9		GWK60_A01221	4383		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	161505	165887	+	QNG12161.1			EPA9	EPA9		GWK60_A01221	4383	1460	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	166594	168033	+							GWK60_A01243	1440		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	166594	168033	+			QNG12162.1	uncharacterized protein			GWK60_A01243	1440		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	166594	168033	+	QNG12162.1			uncharacterized protein			GWK60_A01243	1440	479	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	168514	170637	+					TRP5		GWK60_A01265	2124		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	168514	170637	+			QNG12163.1	TRP5	TRP5		GWK60_A01265	2124		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	168514	170637	+	QNG12163.1			TRP5	TRP5		GWK60_A01265	2124	707	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	170951	173395	+					CWH41		GWK60_A01287	2445		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	170951	173395	+			QNG12164.1	CWH41	CWH41		GWK60_A01287	2445		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	170951	173395	+	QNG12164.1			CWH41	CWH41		GWK60_A01287	2445	814	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	174356	176077	+							GWK60_A01309	1722		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	174356	176077	+			QNG12165.1	uncharacterized protein			GWK60_A01309	1722		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	174356	176077	+	QNG12165.1			uncharacterized protein			GWK60_A01309	1722	573	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	176599	176696	+							GWK60_A01331	98		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	176599	176696	+				tRNA-Phe			GWK60_A01331	73		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	177006	177486	-							GWK60_A01353	481		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	177006	177486	-			QNG12166.1	uncharacterized protein			GWK60_A01353	318		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	177006	177486	-	QNG12166.1			uncharacterized protein			GWK60_A01353	318	105	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	178790	179257	+							GWK60_A01375	468		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	178790	179257	+			QNG12167.1	uncharacterized protein			GWK60_A01375	468		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	178790	179257	+	QNG12167.1			uncharacterized protein			GWK60_A01375	468	155	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	179925	180182	+							GWK60_A01397	258		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	179925	180182	+			QNG12168.1	uncharacterized protein			GWK60_A01397	258		
