Chromosome,Strand,Position,Reads,Gene
I,C,52621,1,nan
I,C,52719,3,nan
I,C,52808,3,nan
I,C,52825,1,nan
I,C,52826,3,nan
I,C,52828,1,nan
I,C,52830,8,nan
I,C,52860,16,nan
I,C,52954,2,nan
I,C,52967,3,nan
I,C,52975,6,nan
I,C,53002,3,nan
I,C,53073,6,nan
I,C,53129,4,nan
I,C,53223,3,nan
I,C,53258,3,nan
I,C,53263,1,nan
I,C,53301,1,nan
I,C,53319,1,nan
I,C,53326,1,nan
I,C,53412,1,nan
I,C,53454,1,nan
I,C,53474,1,nan
I,C,53482,1,nan
I,C,53490,2,nan
I,C,53578,27,nan
I,C,53604,2,nan
I,C,53657,6,nan
I,C,53689,2,nan
I,C,53691,1,nan
I,C,53719,3,nan
I,C,53744,2,nan
I,C,53762,4,nan
I,C,53778,2,nan
I,C,53781,1,nan
I,C,53783,1,nan
I,C,53796,1,nan
I,C,53835,1,nan
I,C,53964,6,nan
I,C,54121,1,nan
I,C,54170,1,nan
I,C,54198,18,nan
I,C,54260,1,nan
I,C,54342,1,nan
I,C,54361,1,nan
I,C,54381,3,nan
I,C,54395,3,nan
I,C,54399,2,nan
I,C,54447,1,nan
I,C,54454,1,nan
I,C,54456,1,nan
I,C,54458,49,nan
I,C,54471,1,nan
I,C,54490,1,nan
I,C,54499,1,nan
I,C,54504,1,nan
I,C,54531,8,nan
I,C,54545,6,nan
I,C,54693,8,nan
I,C,54708,32,nan
I,C,54714,3,nan
I,C,54715,2,nan
I,C,54716,316,nan
I,C,54727,1,nan
I,C,54765,1,nan
I,C,54776,1,nan
I,C,54780,2,nan
I,C,54790,5,nan
I,C,54797,5,nan
I,C,54834,1,nan
I,C,54905,7,nan
I,C,54951,1,nan
I,C,54974,1,nan
I,C,54998,1,nan
I,C,55166,7,nan
I,C,55213,5,nan
I,C,55214,928,nan
I,C,57439,1,nan
I,C,57456,1,nan
I,C,57562,1,nan
I,C,57631,1,nan
I,C,57635,6,nan
I,C,57641,39,nan
I,C,57647,1,nan
I,C,57653,76,nan
I,C,57705,1,nan
I,C,57737,2,nan
I,C,57745,3,nan
I,C,57776,22,nan
I,C,57811,1,nan
I,C,57883,7,nan
I,C,57903,1,nan
I,C,57954,1,nan
I,C,58184,1,nan
I,C,58230,1,nan
I,C,58325,1,nan
I,C,58329,1,nan
I,C,58378,1,nan
I,C,58523,1,nan
I,C,58714,1,nan
I,C,58741,526,nan
I,C,58742,1,nan
I,C,58916,2,nan
I,C,58962,1,nan
I,C,58997,3,nan
I,C,59010,31,nan
I,C,59220,460,nan
I,C,59221,2,nan
I,C,59226,2,nan
I,C,59233,1,nan
I,C,59236,1,nan
I,C,59308,2,nan
I,C,59316,169,nan
I,C,59317,1,nan
I,C,59378,1,nan
I,C,59527,2,nan
I,C,59570,2,nan
I,C,59674,1,nan
I,C,59709,1,nan
I,C,59776,1,nan
I,C,59825,1,nan
I,C,60860,26,nan
I,C,60863,4,nan
I,C,60922,1,nan
I,C,60937,2,nan
I,C,60943,1,nan
I,C,60956,1,nan
I,C,61240,1,nan
I,C,61305,1,nan
I,C,61315,1,nan
I,C,61331,1,nan
I,C,61367,3,nan
I,C,61411,231,nan
I,C,61632,1,nan
I,C,61830,2,nan
I,C,62213,2,nan
I,C,62303,2,nan
I,C,62311,2,nan
I,C,62555,5,nan
I,C,62576,2,nan
I,C,62653,3,nan
I,C,63001,1,nan
I,C,63021,2,nan
I,C,63028,1,nan
I,C,63083,14,nan
I,C,63411,1,nan
I,C,63426,1,nan
I,C,63709,1,nan
I,C,64155,1,nan
I,C,64260,2,nan
I,C,64328,1,nan
I,C,64333,1,nan
I,C,64340,246,nan
I,C,64373,1,nan
I,C,64488,23,nan
I,C,64490,1,nan
I,C,64532,1,nan
I,C,64893,4,nan
I,C,64999,6,nan
I,C,65103,1,nan
I,C,65227,1,nan
I,C,65307,1,nan
I,C,65358,1,nan
I,C,65412,1,nan
I,C,65596,19,nan
I,C,65813,1,nan
I,C,66045,5,nan
I,C,66112,1,nan
I,C,66215,3,nan
I,C,66444,2,nan
I,C,66492,1,nan
I,C,66504,2,nan
I,C,66507,2,nan
I,C,66510,1,nan
I,C,66546,1,nan
I,C,66738,1,nan
I,C,66779,2,nan
I,C,66782,1,nan
I,C,66784,1,nan
I,C,66788,1,nan
I,C,66994,1,nan
I,C,67020,146,nan
I,C,67055,2,nan
I,C,67167,1,nan
I,C,67168,156,nan
I,C,67169,1,nan
I,C,67170,176,nan
I,C,67226,1,nan
I,C,67354,2,nan
I,C,67394,2,nan
I,C,67521,1,nan
I,C,68821,3,nan
I,C,68983,69,nan
I,C,69029,5,nan
I,C,69583,1,nan
I,C,69640,5,nan
I,C,69949,1,nan
I,C,70222,7,nan
I,C,70294,3,nan
I,C,70449,1,nan
I,C,70725,2,nan
I,C,70928,3,nan
I,C,70938,1,nan
I,C,70951,1,nan
I,C,71086,1,nan
I,C,71355,12,nan
I,C,71384,53,nan
I,C,71389,1,nan
I,C,71582,3,nan
I,C,71621,2,nan
I,C,71788,1,nan
I,C,71801,5,nan
I,C,72057,1,nan
I,C,72606,1,nan
I,C,72862,79,nan
I,C,72883,3,nan
I,C,73201,2,nan
I,C,73305,2,nan
I,C,73689,2,nan
I,C,73693,2,nan
I,C,74341,24,nan
I,C,74555,2,nan
I,C,74794,2,nan
I,C,74853,66,nan
I,C,75187,1,nan
I,C,75542,1,nan
I,C,76382,1,nan
I,C,76625,1,nan
I,C,76626,4,nan
I,C,76636,1,nan
I,C,76672,1,nan
I,C,76710,1,nan
I,C,76926,2,nan
I,C,76993,1,nan
I,C,77066,14,nan
I,C,77240,1,nan
I,C,77268,1,nan
I,C,77275,1,nan
I,C,77420,1,nan
I,C,77581,251,nan
I,C,77588,1,nan
I,C,77594,1,nan
I,C,77772,1,nan
I,C,77822,2,nan
I,C,77937,1,nan
I,C,77949,37,nan
I,C,78109,106,nan
I,C,78184,1,nan
I,C,78344,1,nan
I,C,78549,3,nan
I,C,78626,1,nan
I,C,78778,1,nan
I,C,78862,2,nan
I,C,79229,1,nan
I,C,79571,1,nan
I,C,79599,2,nan
I,C,79602,2,nan
I,C,79641,4,nan
I,C,79659,2,nan
I,C,79661,1,nan
I,C,79665,1,nan
I,C,79804,1,nan
I,C,80144,2,nan
I,C,80318,36,nan
I,C,80343,2,nan
I,C,80404,3,nan
I,C,80410,3,nan
I,C,80943,1,nan
I,C,81505,1,nan
I,C,81606,1,nan
I,C,81641,1,nan
I,C,81673,17,nan
I,C,81693,1,nan
I,C,81747,31,nan
I,C,81823,3,nan
I,C,81871,51,nan
I,C,81889,1,nan
I,C,81890,1,nan
I,C,82052,2,nan
I,C,82132,1,nan
I,C,82152,1,nan
I,C,82159,2,nan
I,C,82167,2,nan
I,C,82222,4,nan
I,C,82264,2,nan
I,C,82265,2,nan
I,C,82270,1,nan
I,C,82272,1,nan
I,C,82274,78,nan
I,C,82339,1,nan
I,C,82343,1,nan
I,C,82364,2,nan
I,C,82401,2,nan
I,C,82432,2,nan
I,C,82464,3,nan
I,C,82470,2,nan
I,C,82729,1,nan
I,C,82887,1,nan
I,C,82973,2,nan
I,C,83337,2,nan
I,C,83577,3,nan
I,C,84154,24,nan
I,C,84166,33,nan
I,C,84338,84,nan
I,C,84350,1,nan
I,C,84588,2,nan
I,C,84723,3,nan
I,C,84811,1,nan
I,C,85129,1,nan
I,C,85300,1,nan
I,C,85315,1,nan
I,C,85469,1,nan
I,C,85585,3,nan
I,C,85741,1,nan
I,C,85789,2,nan
I,C,85830,3,nan
I,C,85892,1,nan
I,C,85931,1,nan
I,C,86222,1,nan
I,C,86548,1,nan
I,C,86583,2,nan
I,C,86706,1,nan
I,C,86827,857,nan
I,C,86836,3,nan
I,C,86838,2,nan
I,C,86851,1,nan
I,C,86888,4,nan
I,C,86923,12,nan
I,C,86943,1,nan
I,C,86978,1,nan
I,C,86986,1,nan
I,C,86996,91,nan
I,C,87230,1,nan
I,C,87291,3,nan
I,C,87296,2,nan
I,C,87332,2,nan
I,C,87376,3,nan
I,C,87387,1,nan
I,C,87389,3,nan
I,C,87452,20,nan
I,C,87516,1,nan
I,C,87524,3,nan
I,C,87584,2,nan
I,C,87594,4,nan
I,C,87600,4,nan
I,C,87652,1,nan
I,C,87678,1,nan
I,C,87792,3,nan
I,C,87797,2,nan
I,C,87801,4,nan
I,C,87938,25,nan
I,C,87965,1,nan
I,C,88150,78,nan
I,C,88166,1,nan
I,C,88261,279,nan
I,C,88428,1,nan
I,C,88658,3,nan
I,C,88671,1,nan
I,C,88808,1,nan
I,C,88839,1,nan
I,C,89273,1,nan
I,C,89344,1,nan
I,C,89531,3,nan
I,C,89605,1,nan
I,C,89776,1,nan
I,C,89806,1,nan
I,C,89842,1,nan
I,C,89930,1,nan
I,C,90042,1,nan
I,C,90311,1,nan
I,C,90458,3,nan
I,C,90481,16,nan
I,C,90516,1,nan
I,C,90675,1,nan
I,C,90741,21,nan
I,C,90742,5,nan
I,C,90768,16,nan
I,C,90788,1,nan
I,C,90800,2,nan
I,C,90844,1,nan
I,C,90903,1,nan
I,C,90948,1,nan
I,C,90954,1,nan
I,C,90963,1,nan
I,C,90964,14,nan
I,C,90965,1,nan
I,C,90994,42,nan
I,C,91004,12,nan
I,C,91232,3,nan
I,C,91275,3,nan
I,C,91385,2,nan
I,C,91421,1,nan
I,C,91486,1,nan
I,C,91511,2,nan
I,C,91524,1,nan
I,C,91644,1,nan
I,C,91685,2,nan
I,C,91735,2,nan
I,C,91744,5,nan
I,C,91773,20,nan
I,C,91820,1,nan
I,C,91872,2,nan
I,C,91959,1,nan
I,C,91996,1,nan
I,C,92214,2,nan
I,C,92283,23,nan
I,C,92784,5,nan
I,C,93079,2,nan
I,C,93275,6,nan
I,C,93379,2,nan
I,C,93398,1,nan
I,C,93414,1,nan
I,C,93431,4,nan
I,C,93446,1,nan
I,C,93601,4,nan
I,C,93677,25,nan
I,C,93756,1,nan
I,C,93789,5,nan
I,C,93824,2,nan
I,C,93868,1,nan
I,C,93911,2,nan
I,C,93913,1,nan
I,C,93922,41,nan
I,C,93926,88,nan
I,C,93979,2,nan
I,C,94024,1,nan
I,C,94041,3,nan
I,C,94110,2,nan
I,C,94223,1,nan
I,C,94341,4,nan
I,C,94448,3,nan
I,C,94455,2,nan
I,C,94478,1,nan
I,C,94491,4,nan
I,C,94504,1,nan
I,C,94614,1,nan
I,C,94634,118,nan
I,C,94636,1,nan
I,C,94647,1,nan
I,C,94679,2,nan
I,C,94719,1,nan
I,C,94856,2,nan
I,C,94957,1,nan
I,C,95006,106,nan
I,C,95020,2,nan
I,C,95031,1,nan
I,C,95410,3,nan
I,C,95440,73,nan
I,C,95444,27,nan
I,C,95502,62,nan
I,C,95547,1,nan
I,C,95624,77,nan
I,C,95625,1,nan
I,C,95628,2,nan
I,C,95704,1,nan
I,C,95722,5,nan
I,C,95731,1,nan
I,C,96000,3,nan
I,C,96072,1,nan
I,C,96130,3,nan
I,C,96144,1,nan
I,C,96155,7,nan
I,C,96158,144,nan
I,C,96197,1,nan
I,C,96224,9,nan
I,C,96353,6,nan
I,C,96415,7,nan
I,C,96445,2,nan
I,C,96478,22,nan
I,C,96524,4,nan
I,C,96626,1,nan
I,C,96638,2,nan
I,C,96720,2,nan
I,C,96993,1,nan
I,C,97056,9,nan
I,C,97063,1,nan
I,C,97064,4,nan
I,C,97098,4,nan
I,C,97305,173,nan
I,C,97306,1,nan
I,C,98389,2,nan
I,C,98537,35,nan
I,C,98553,1,nan
I,C,98572,1,nan
I,C,98575,1,nan
I,C,98576,80,nan
I,C,98580,1,nan
I,C,98593,2,nan
I,C,98595,1,nan
I,C,98598,82,nan
I,C,98600,49,nan
I,C,98622,1,nan
I,C,98783,1,nan
I,C,98788,37,nan
I,C,98866,1,nan
I,C,98887,103,nan
I,C,98888,173,nan
I,C,98890,2,nan
I,C,98896,21,nan
I,C,98929,7,nan
I,C,99058,1,nan
I,C,99246,2,nan
I,C,99250,1,nan
I,C,99275,3,nan
I,C,99338,1,nan
I,C,99343,2,nan
I,C,99364,16,nan
I,C,99366,14,nan
I,C,99370,2,nan
I,C,99399,4,nan
I,C,99405,3,nan
I,C,99448,8,nan
I,C,99513,1,nan
I,C,99522,1,nan
I,C,99547,1,nan
I,C,99555,1,nan
I,C,99564,1,nan
I,C,99577,1,nan
I,C,99587,1,nan
I,C,99592,1,nan
I,C,99610,1,nan
I,C,99760,18,nan
I,C,99762,1,nan
I,C,99765,2,nan
I,C,99766,74,nan
I,C,99797,19,nan
I,C,99799,131,nan
I,C,99801,2,nan
I,C,99804,558,nan
I,C,99805,2,nan
I,C,99810,3,nan
I,C,99838,1,nan
I,C,99907,1,nan
I,C,99921,2,nan
I,C,99927,31,nan
I,C,99963,5,nan
I,C,99974,1,nan
I,C,100022,2,nan
I,C,100062,1,nan
I,C,100105,71,nan
I,C,100108,1,nan
I,C,100113,1,nan
I,C,100123,6,nan
I,C,100131,101,nan
I,C,100176,1,nan
I,C,100226,13,nan
I,C,100228,56,nan
I,C,100231,1,nan
I,C,100300,3,nan
I,C,100306,1,nan
I,C,100376,49,nan
I,C,100410,2,nan
I,C,100456,1,nan
I,C,100467,20,nan
I,C,100543,8,nan
I,C,100699,71,nan
I,C,100730,1,nan
I,C,100756,1,nan
I,C,100841,1,nan
I,C,100872,2,nan
I,C,100907,1,nan
I,C,100916,3,nan
I,C,100918,1,nan
I,C,100940,6,nan
I,C,100941,1,nan
I,C,100949,2,nan
I,C,101025,1,nan
I,C,101029,1,nan
I,C,101037,4,nan
I,C,101044,1,nan
I,C,101069,56,nan
I,C,101074,15,nan
I,C,101081,1,nan
I,C,101090,1,nan
I,C,101098,20,nan
I,C,101118,40,nan
I,C,101155,1,nan
I,C,101162,1,nan
I,C,101282,1,nan
I,C,101284,22,nan
I,C,101331,1,nan
I,C,101332,3,nan
I,C,101346,4,nan
I,C,101473,3,nan
I,C,101475,1,nan
I,C,101492,10,nan
I,C,101530,41,nan
I,C,101536,2,nan
I,C,101542,1,nan
I,C,101547,2,nan
I,C,101556,9,nan
I,C,101560,43,nan
I,C,101561,1,nan
I,C,101562,195,nan
I,C,101565,10,nan
I,C,101569,395,nan
I,C,101570,2,nan
I,C,101588,1,nan
I,C,101593,51,nan
I,C,101605,40,nan
I,C,101660,1,nan
I,C,101665,2,nan
I,C,101672,7,nan
I,C,101696,1,nan
I,C,101698,5,nan
I,C,101752,1,nan
I,C,101759,51,nan
I,C,101760,1,nan
I,C,101765,2,nan
I,C,101774,332,nan
I,C,101782,158,nan
I,C,101800,1,nan
I,C,101815,33,nan
I,C,101834,1,nan
I,C,101912,1,nan
I,C,102019,1,nan
I,C,102088,17,nan
I,C,102134,1,nan
I,C,102917,1,nan
I,C,103097,1,nan
I,C,103650,2,nan
I,C,103909,41,nan
I,C,103911,1,nan
I,C,103914,1,nan
I,C,103950,2,nan
I,C,103963,17,nan
I,C,103968,4,nan
I,C,104024,244,nan
I,C,104064,1,nan
I,C,104116,1,nan
I,C,104118,1,nan
I,C,104194,1,nan
I,C,104202,171,nan
I,C,104204,3,nan
I,C,104205,1304,nan
I,C,104206,1,nan
I,C,104219,1,nan
I,C,104240,205,nan
I,C,104247,1,nan
I,C,104248,371,nan
I,C,104249,1,nan
I,C,104258,2,nan
I,C,104259,48,nan
I,C,104268,295,nan
I,C,104274,57,nan
I,C,104280,1,nan
I,C,104281,81,nan
I,C,104304,1,nan
I,C,104323,6,nan
I,C,104354,23,nan
I,C,104379,152,nan
I,C,104384,36,nan
I,C,104425,2,nan
I,C,104427,45,nan
I,C,104444,199,nan
I,C,104445,1,nan
I,C,104479,1,nan
I,C,104480,202,nan
I,C,104483,10,nan
I,C,104527,4,nan
I,C,104531,17,nan
I,C,104544,50,nan
I,C,104587,9,nan
I,C,104592,2,nan
I,C,104596,1,nan
I,C,104600,1,nan
I,C,104619,4,nan
I,C,104621,68,nan
I,C,104623,7,nan
I,C,104625,5,nan
I,C,104637,6,nan
I,C,104638,9,nan
I,C,104655,25,nan
I,C,104657,11,nan
I,C,104709,107,nan
I,C,104717,405,nan
I,C,104718,194,nan
I,C,104719,372,nan
I,C,104720,1,nan
I,C,104721,26,nan
I,C,104736,67,nan
I,C,104740,135,nan
I,C,104745,4,nan
I,C,104748,2,nan
I,C,104764,1,nan
I,C,104769,158,nan
I,C,104771,11,nan
I,C,104780,1,nan
I,C,104788,1,nan
I,C,104794,10,nan
I,C,104797,311,nan
I,C,104801,1,nan
I,C,104811,202,nan
I,C,104814,8,nan
I,C,104818,14,nan
I,C,104838,6,nan
I,C,104842,12,nan
I,C,104844,2,nan
I,C,104853,47,nan
I,C,104886,3,nan
I,C,104911,29,nan
I,C,104913,2,nan
I,C,104929,440,nan
I,C,104930,1,nan
I,C,105084,2,nan
I,C,105134,183,nan
I,C,105156,2,nan
I,C,105158,41,nan
I,C,105208,7,nan
I,C,105214,31,nan
I,C,105332,79,nan
I,C,105398,1,nan
I,C,105635,5,nan
I,C,105642,1,nan
I,C,105739,79,nan
I,C,105787,4,nan
I,C,105812,5,nan
I,C,105897,2,nan
I,C,105933,2,nan
I,C,105965,5,nan
I,C,105967,15,nan
I,C,105980,23,nan
I,C,105981,7,nan
I,C,105990,2,nan
I,C,105993,599,nan
I,C,106010,195,nan
I,C,106011,1,nan
I,C,106014,158,nan
I,C,106015,1,nan
I,C,106016,1235,nan
I,C,106017,2,nan
I,C,106018,4,nan
I,C,106022,137,nan
I,C,106045,158,nan
I,C,106047,25,nan
I,C,106100,1,nan
I,C,106179,1,nan
I,C,106195,2,nan
I,C,106300,1,nan
I,C,106316,1,nan
I,C,106322,23,nan
I,C,106323,1,nan
I,C,106324,42,nan
I,C,106343,4,nan
I,C,106349,183,nan
I,C,106350,1,nan
I,C,106351,1075,nan
I,C,106357,289,nan
I,C,106360,271,nan
I,C,106361,1,nan
I,C,106367,31,nan
I,C,106375,4,nan
I,C,106376,24,nan
I,C,106377,1,nan
I,C,106379,1,nan
I,C,106381,6,nan
I,C,106397,2,nan
I,C,106494,10,nan
I,C,106528,5,nan
I,C,106554,25,nan
I,C,106565,4,nan
I,C,106567,8,nan
I,C,106608,6,nan
I,C,106630,1,nan
I,C,106631,17,nan
I,C,106632,2267,nan
I,C,106676,2,nan
I,C,106687,18,nan
I,C,106714,67,nan
I,C,106725,83,nan
I,C,106753,1,nan
I,C,106793,1,nan
I,C,106878,1,nan
I,C,106880,12,nan
I,C,106883,1,nan
I,C,106918,1,nan
I,C,106924,15,nan
I,C,106926,28,nan
I,C,106930,1,nan
I,C,106934,4,nan
I,C,106957,3,nan
I,C,106966,1,nan
I,C,106975,12,nan
I,C,106990,1,nan
I,C,106992,200,nan
I,C,106993,1,nan
I,C,107016,8,nan
I,C,107017,1,nan
I,C,107022,27,nan
I,C,107034,10,nan
I,C,107041,3,nan
I,C,107051,3,nan
I,C,107130,4,nan
I,C,107152,22,nan
I,C,107365,1,nan
I,C,107421,32,nan
I,C,107445,1,nan
I,C,107475,2,nan
I,C,107497,1,nan
I,C,107544,1,nan
I,C,107604,87,nan
I,C,107605,3,nan
I,C,107606,1,nan
I,C,107611,1,nan
I,C,107613,3,nan
I,C,107738,34,nan
I,C,107783,851,nan
I,C,107784,1,nan
I,C,107789,10,nan
I,C,107790,369,nan
I,C,107791,1,nan
I,C,107792,1,nan
I,C,107794,1,nan
I,C,107796,1,nan
I,C,107848,8,nan
I,C,107854,5,nan
I,C,107859,6,nan
I,C,107860,49,nan
I,C,107935,4,nan
I,C,107938,68,nan
I,C,107948,3,nan
I,C,107983,7,nan
I,C,107985,21,nan
I,C,107987,56,nan
I,C,107992,13,nan
I,C,108040,6,nan
I,C,108058,10,nan
I,C,108065,64,nan
I,C,108108,1,nan
I,C,108128,1,nan
I,C,108131,408,nan
I,C,108137,103,nan
I,C,108138,1,nan
I,C,108139,69,nan
I,C,108159,101,nan
I,C,108166,26,nan
I,C,108187,137,nan
I,C,108206,63,nan
I,C,108208,77,nan
I,C,108209,1,nan
I,C,108223,82,nan
I,C,108233,33,nan
I,C,108242,8,nan
I,C,108256,2,nan
I,C,108269,1,nan
I,C,108296,49,nan
I,C,108315,16,nan
I,C,108393,1,nan
I,C,108443,1,nan
I,C,108461,1,nan
I,C,108470,8,nan
I,C,108491,1,nan
I,C,108502,1,nan
I,C,108507,2,nan
I,C,108527,3,nan
I,C,108537,2,nan
I,C,108560,2,nan
I,C,108574,1,nan
I,C,108578,9,nan
I,C,108626,3,nan
I,C,108649,4,nan
I,C,108653,1,nan
I,C,108713,18,nan
I,C,108736,1,nan
I,C,108753,14,nan
I,C,108844,51,nan
I,C,108846,1,nan
I,C,108939,1,nan
I,C,108947,80,nan
I,C,108960,1,nan
I,C,108961,85,nan
I,C,108969,1,nan
I,C,108990,1,nan
I,C,109029,19,nan
I,C,109038,1,nan
I,C,109044,1,nan
I,C,109110,1,nan
I,C,109119,1,nan
I,C,109122,1,nan
I,C,109275,1,nan
I,C,109286,2,nan
I,C,109303,6,nan
I,C,109336,2,nan
I,C,109464,1,nan
I,C,109468,1,nan
I,C,109487,5,nan
I,C,109562,2,nan
I,C,109609,1,nan
I,C,109632,3,nan
I,C,109705,3,nan
I,C,109896,2,nan
I,C,109897,2,nan
I,C,110005,2,nan
I,C,110010,22,nan
I,C,110019,1,nan
I,C,110043,19,nan
I,C,110052,4,nan
I,C,110061,1,nan
I,C,110062,135,nan
I,C,110096,26,nan
I,C,110131,1,nan
I,C,110193,4,nan
I,C,110204,1,nan
I,C,110205,29,nan
I,C,110227,1,nan
I,C,110229,1,nan
I,C,110235,6,nan
I,C,110285,2,nan
I,C,110337,32,nan
I,C,110347,1,nan
I,C,110408,28,nan
I,C,110416,12,nan
I,C,110521,82,nan
I,C,110528,1,nan
I,C,110539,137,nan
I,C,110690,1,nan
I,C,110803,1,nan
I,C,110805,10,nan
I,C,110832,2,nan
I,C,110834,375,nan
I,C,110835,2,nan
I,C,110836,13,nan
I,C,110860,1,nan
I,C,110964,1,nan
I,C,110966,35,nan
I,C,110987,116,nan
I,C,110993,101,nan
I,C,111027,100,nan
I,C,111049,1,nan
I,C,111060,5,nan
I,C,111069,2,nan
I,C,111088,1,nan
I,C,111136,1,nan
I,C,111154,3,nan
I,C,111162,21,nan
I,C,111166,3,nan
I,C,111171,77,nan
I,C,111178,1,nan
I,C,111198,60,nan
I,C,111294,98,nan
I,C,111295,1,nan
I,C,111343,2,nan
I,C,111348,2,nan
I,C,111444,4,nan
I,C,111471,1,nan
I,C,111472,39,nan
I,C,111479,1,nan
I,C,111480,489,nan
I,C,111482,2,nan
I,C,111498,1,nan
I,C,111503,1,nan
I,C,111510,1,nan
I,C,111516,90,nan
I,C,111517,1,nan
I,C,111539,328,nan
I,C,111551,58,nan
I,C,111554,13,nan
I,C,111556,154,nan
I,C,111573,1,nan
I,C,111661,2,nan
I,C,111717,1,nan
I,C,111740,1,nan
I,C,111746,1,nan
I,C,111790,1,nan
I,C,111804,6,nan
I,C,111828,18,nan
I,C,111830,9,nan
I,C,112025,1,nan
I,C,112203,2,nan
I,C,112223,376,nan
I,C,112224,1,nan
I,C,112323,2,nan
I,C,112377,15,nan
I,C,112510,2,nan
I,C,112683,20,nan
I,C,112892,1,nan
I,C,112894,121,nan
I,C,112906,11,nan
I,C,112948,2,nan
I,C,113057,173,nan
I,C,113068,807,nan
I,C,113074,3,nan
I,C,113075,770,nan
I,C,113077,57,nan
I,C,113084,1,nan
I,C,113092,46,nan
I,C,113120,20,nan
I,C,113126,18,nan
I,C,113137,7,nan
I,C,113142,1,nan
I,C,113143,113,nan
I,C,113147,352,nan
I,C,113148,1,nan
I,C,113149,1,nan
I,C,113158,33,nan
I,C,113209,12,nan
I,C,113251,2,nan
I,C,113276,1,nan
I,C,113307,3,nan
I,C,113343,3,nan
I,C,113409,19,nan
I,C,113451,47,nan
I,C,113455,9,nan
I,C,113457,10,nan
I,C,113459,1,nan
I,C,113467,1,nan
I,C,113504,1,nan
I,C,113505,801,nan
I,C,113570,1,nan
I,C,113601,5,nan
I,C,113612,40,nan
I,C,113641,479,nan
I,C,113642,1,nan
I,C,113650,95,nan
I,C,113682,2,nan
I,C,113781,7,nan
I,C,113799,4,nan
I,C,113802,4,nan
I,C,113811,1,nan
I,C,113819,2,nan
I,C,113821,366,nan
I,C,113822,1,nan
I,C,113838,1,nan
I,C,113883,17,nan
I,C,113890,4,nan
I,C,113933,3,nan
I,C,113950,1,nan
I,C,113954,1,nan
I,C,113984,3,nan
I,C,113986,10,nan
I,C,114133,2,nan
I,C,114199,3,nan
I,C,114239,2,nan
I,C,114263,1,nan
I,C,114274,1,nan
I,C,114347,1,nan
I,C,114355,28,nan
I,C,114426,1,nan
I,C,114457,3,nan
I,C,114483,16,nan
I,C,114488,1,nan
I,C,114495,25,nan
I,C,114548,7,nan
